sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,info,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
MID0295,Arabic,شو جاب الزرقا للبلقا.,Apples and oranges.,Apples and oranges.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,Apples and oranges.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
MID0500,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,Give him an inch and he'll take a mile.,"If you give him a little, he'll take a lot","[""If you give him a foot, he'll measure the field"", ""If you offer him a hand, he'll ask for a bridge"", ""If you hand him a stone, he'll build a house""]",False,gate=len,S2,"If you hand him a stone, he'll build a house","If you give him a little, he'll take a lot","If you give him a foot, he'll measure the field","If you offer him a hand, he'll ask for a bridge",B
MID0631,Arabic,مد رجليك قدر لحافك,Cut your coat according to your cloth.,Measure your actions by your means,"['Adjust your coat to fit the cloth', 'Cut your cloth according to the coat', ""Tailor your coat to the fabric's size""]",False,gate=len,S2,Cut your cloth according to the coat,Tailor your coat to the fabric's size,Measure your actions by your means,Adjust your coat to fit the cloth,C
MID0024,Arabic,إنّ الطيور على أشكالها تقع, Birds of a feather flock together., Birds of a feather flock together.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],Birds of a feather flock together.,D
MID0441,Arabic,شو بتعمل الماشطه بهالوش العكر.,Putting lipstick on a pig.,Putting lipstick on a pig.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,Putting lipstick on a pig.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
MID0412,Arabic,لي خاف سلم. ,The one who shows his fears ensures his salvation.,The one who shows his fears ensures his salvation.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],The one who shows his fears ensures his salvation.,[DISTRACTOR 1],[DISTRACTOR 2],B
MID0219,Arabic,البحر فيه لاغش,The worst is yet to come.,The worst is yet to come.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],The worst is yet to come.,[DISTRACTOR 1],C
MID0523,Arabic,قرصه في ناره وعينه على جاره.,The grass is always greener on the other side,The grass is always greener on the other side,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],The grass is always greener on the other side,D
MID0614,Arabic,القُفه ام اضنين بشيلوها نفرين.,It takes two to tango.,It takes two to tango.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,It takes two to tango.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
MID0912,Arabic,كلّه عند العرب صابون,"For the Bedouin, it’s all soap","To the Bedouin, everything is soap","['For the Bedouin, it’s all soapy', 'To the Bedouin, all is soapy', 'The Bedouin consider everything soapy']",False,gate=len,S2,The Bedouin consider everything soapy,"To the Bedouin, everything is soap","For the Bedouin, it’s all soapy","To the Bedouin, all is soapy",B
MID0755,Arabic,إنفخ يا شريم قال ماكو برطم ,Born to suffer./ You can not escape bad luck,Destined to endure hardship,"['Born under a bad star', 'Fated to find trouble', 'Blessed with misfortune']",False,gate=len,S2,Fated to find trouble,Blessed with misfortune,Destined to endure hardship,Born under a bad star,C
MID0605,Arabic,التسوي كريت تلقى في جلدها.,What goes around comes around.,Actions have consequences in the end,"['Every action is quickly followed by a reaction', 'Good deeds always return to the giver', 'The cycle of events repeats itself']",False,gate=len,S2,Every action is quickly followed by a reaction,Good deeds always return to the giver,The cycle of events repeats itself,Actions have consequences in the end,D
MID0826,Arabic,أحضر الناس جوابا من لم يغضب,The best answer will come from the person who is not angry.,The best answer will come from the person who is not angry.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,The best answer will come from the person who is not angry.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
MID0744,Arabic,كل من كان عالي وطى كل من كان سارح بالشياه هطى,Pride goes before a fall.,Arrogance precedes a downfall,"['Pride leads to a stumble', 'Pride follows a fall', 'Pride prevents a collapse']",False,gate=len,S2,Pride prevents a collapse,Arrogance precedes a downfall,Pride leads to a stumble,Pride follows a fall,B
YOR1930,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,"If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR1569,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,[DISTRACTOR 1],[DISTRACTOR 2],B
YOR2171,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One inherits from one’s front, and one sets an example at one’s back.","One inherits from one’s front, and one sets an example at one’s back.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"One inherits from one’s front, and one sets an example at one’s back.",[DISTRACTOR 1],C
YOR1240,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",D
YOR3981,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR1407,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",[DISTRACTOR 1],[DISTRACTOR 2],B
YOR2410,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the snare does not kill the rat, it returns the kernel bait to the owner.","If the snare does not kill the rat, it returns the kernel bait to the owner.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"If the snare does not kill the rat, it returns the kernel bait to the owner.",[DISTRACTOR 1],C
YOR1521,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,It is with both its eyes and its feathers that the partridge sees.,It is with both its eyes and its feathers that the partridge sees.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],It is with both its eyes and its feathers that the partridge sees.,D
YOR3426,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR1130,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,[DISTRACTOR 1],[DISTRACTOR 2],B
YOR0370,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,Why would a man without hair go to the barber's shop?,"[""What does a customer seek in the tailor's workshop?"", ""Why does a man with a beard visit the hairdresser's?"", 'What does a man desire in the shop of the tailor?']",False,gate=len,S2,Why does a man with a beard visit the hairdresser's?,What does a man desire in the shop of the tailor?,Why would a man without hair go to the barber's shop?,What does a customer seek in the tailor's workshop?,C
YOR2447,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,Whoever the dog came out with is the per son the dog returns home with.,Whoever the dog accompanies on its journey is the person it returns with.,"['The dog always comes home with the person who walks it.', 'A dog follows the same path it took with its owner.', 'If a dog goes out with someone, it finds its way back alone.']",False,gate=len,S2,The dog always comes home with the person who walks it.,A dog follows the same path it took with its owner.,"If a dog goes out with someone, it finds its way back alone.",Whoever the dog accompanies on its journey is the person it returns with.,D
YOR0938,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,Water is the first thing one’s foot encounters before it encounters the sand.,Water is the first thing the foot meets before the sand does,"['The foot meets the sand before it meets the water', 'Water is the first thing one steps on after the sand', 'Water is the first thing one’s hand touches before the sand']",False,gate=len,S2,Water is the first thing the foot meets before the sand does,The foot meets the sand before it meets the water,Water is the first thing one steps on after the sand,Water is the first thing one’s hand touches before the sand,A
YOR2476,Yoruba,Ọ́bún ba irú aṣọ jẹ.,The filthy person destroys the appeal of a style of clothing.,A dirty person spoils the attractiveness of a clothing style,"['The unclean individual ruins the beauty of a garment pattern', 'A foul person affects the value of a fabric type', 'The messy individual tarnishes the elegance of a dress design']",False,gate=len,S2,The messy individual tarnishes the elegance of a dress design,A dirty person spoils the attractiveness of a clothing style,The unclean individual ruins the beauty of a garment pattern,A foul person affects the value of a fabric type,B
YOR2639,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,One cannot live amid forty people and never misspeak.,One cannot live surrounded by many people without ever saying the wrong thing.,"['No one can travel through forty people without misstepping their words.', 'A person cannot dwell among forty others and always speak perfectly.', ""It's impossible to dwell with four people and never speak out of turn.""]",False,gate=len,S2,A person cannot dwell among forty others and always speak perfectly.,It's impossible to dwell with four people and never speak out of turn.,One cannot live surrounded by many people without ever saying the wrong thing.,No one can travel through forty people without misstepping their words.,C
YOR2231,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child who shits on the path brings down curses on its mother. B,A child who shits on the path brings down curses on its mother. B,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A child who shits on the path brings down curses on its mother. B,D
YOR0708,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR1886,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief.,[DISTRACTOR 1],[DISTRACTOR 2],B
YOR0015,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,One does not carry debt around one’s neck and live like a dandy.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],One does not carry debt around one’s neck and live like a dandy.,[DISTRACTOR 1],C
YOR1449,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,The industrious person is the enemy of the shiftless person.,The diligent person is the rival of the idle one,"['The industrious person is the companion of the idle', 'The lazy person is the rival of the hardworking one', 'The diligent person is the ally of the idle']",False,gate=len,S2,The industrious person is the companion of the idle,The lazy person is the rival of the hardworking one,The diligent person is the ally of the idle,The diligent person is the rival of the idle one,D
YOR4105,Yoruba,Ọjo kì í to lọ bi òréré.,Days do not go on straight like an avenue.,Days don't proceed straight like a road,"['Days do not run straight as a path', ""Days won't move straight like a highway"", ""Days don't follow straight as a way""]",False,gate=len,S2,Days don't proceed straight like a road,Days do not run straight as a path,Days won't move straight like a highway,Days don't follow straight as a way,A
YOR1710,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","""This matter does not hurt me"": stating it only once suffices.","""This matter does not hurt me"": stating it only once suffices.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],"""This matter does not hurt me"": stating it only once suffices.",[DISTRACTOR 1],[DISTRACTOR 2],B
YOR1463,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","The stew having cooled, one hollows one’s palm to eat it.","Once the stew has cooled, you scoop it with your hand.","['The stew having boiled, one hollows one’s palm to eat it.', 'The stew being hot, one stirs the pot to eat it.', 'The stew having thickened, one breaks it with a spoon to eat it.']",False,gate=len,S2,"The stew being hot, one stirs the pot to eat it.","The stew having thickened, one breaks it with a spoon to eat it.","Once the stew has cooled, you scoop it with your hand.","The stew having boiled, one hollows one’s palm to eat it.",C
YOR1685,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,It is what one wishes to keep a secret that one does in private.,The things you want to hide are what you do behind closed doors.,"['It is what one avoids revealing that one does in private.', 'It is what one wishes to keep a secret that one does in silence.', 'One does in private the things one wishes to keep hidden.']",False,gate=len,S2,It is what one avoids revealing that one does in private.,It is what one wishes to keep a secret that one does in silence.,One does in private the things one wishes to keep hidden.,The things you want to hide are what you do behind closed doors.,D
YOR2232,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,A father is a protector; a mother is a helper; a co-wife is death.,A father is a protector; a mother is a helper; a co-wife is death.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,A father is a protector; a mother is a helper; a co-wife is death.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR1583,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",[DISTRACTOR 1],[DISTRACTOR 2],B
YOR3430,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",[DISTRACTOR 1],C
YOR3039,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.","Though we might travel as a group, we do not know who is destined to prosper.","Though we might travel as a group, we do not know who is destined to prosper.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],"Though we might travel as a group, we do not know who is destined to prosper.",D
YOR0282,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,It is the person who is revered that will disgrace himself or herself.,A respected individual is the one who ends up bringing shame upon themselves,"['It is the one who disrespects others who will be dishonored themselves', 'The person who honors others is the one who will be disgraced', 'A person who is honored will eventually honor themselves']",False,gate=len,S2,A respected individual is the one who ends up bringing shame upon themselves,It is the one who disrespects others who will be dishonored themselves,The person who honors others is the one who will be disgraced,A person who is honored will eventually honor themselves,A
YOR3313,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,No other sash matches the red one; no other hill rivals Gbadi Hill; no substitute equals a mother’s breast milk in taste.,"['No crimson ribbon surpasses the royal sash; no peak equals Gbadi’s summit; no other milk is as sweet as a mother’s nourishment.', 'A single sash cannot match the royal red; a lone hill cannot outshine Gbadi’s height; a child’s milk never rivals a mother’s warmth.', 'The red sash has no equal; Gbadi Hill stands unmatched; a mother’s milk is unrivaled in its sweetness.']",False,gate=len,S2,The red sash has no equal; Gbadi Hill stands unmatched; a mother’s milk is unrivaled in its sweetness.,No other sash matches the red one; no other hill rivals Gbadi Hill; no substitute equals a mother’s breast milk in taste.,No crimson ribbon surpasses the royal sash; no peak equals Gbadi’s summit; no other milk is as sweet as a mother’s nourishment.,A single sash cannot match the royal red; a lone hill cannot outshine Gbadi’s height; a child’s milk never rivals a mother’s warmth.,B
YOR0761,Yoruba,Ìbínú baba òṣì.,Anger [is the] father of hopelessness.,Anger gives birth to despair.,"['Anger is the root of despair.', 'Anger is the source of hope.', 'Anger is the seed of sorrow.']",False,gate=len,S2,Anger is the source of hope.,Anger is the seed of sorrow.,Anger gives birth to despair.,Anger is the root of despair.,C
YOR1731,Yoruba,"Wọ́n ní kárúgbó gba ọmọ pọ̀n, ó ní ṣe bí wọ́n mọ̀ pé òun ò léhín; wọ́n ní kó pa ọmọ jẹ ni? ","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child? ","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child? ","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],"The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child?",D
YOR1250,Yoruba,Fífẹ́ la fẹ́ ẹ̀fọ́ tí à ńpè-é ní ọ̀rẹ́ ẹ̀kọ; ti ilé ogè-é tó ogè-é jẹ.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],A
YOR0174,Yoruba,Àrífín ilé ó jọkà jẹ òròmọ adìẹ.,Fear of losing face within one’s home dis suades one from eating day-old chicks.,Fear of losing face at home deters one from eating day-old chicks.,"['Anxiety about embarrassment in the household stops someone from eating old chicks.', 'Shame over public disgrace at home prevents one from eating young chicks.', 'Worry about disgrace within the family discourages eating newly hatched chicks.']",False,gate=len,S2,Worry about disgrace within the family discourages eating newly hatched chicks.,Fear of losing face at home deters one from eating day-old chicks.,Anxiety about embarrassment in the household stops someone from eating old chicks.,Shame over public disgrace at home prevents one from eating young chicks.,B
YOR3670,Yoruba,"Àparò, aṣọ-ọ̀ rẹ́ ṣe pọ́n báyìí? O ní ìgbà wo ni aṣọ òun ò níí pọ́n?  Ọ̀sán jíjẹ, òru sísùn, oúnjẹ̀ ò ṣéé fi sílẹ̀ lọ́sàn-án; orun ò ṣéé fi sílẹ̀ lóru.","Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.","Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.",[DISTRACTOR 1],C
YOR3579,Yoruba,"A kì í dé ilé ikú ká fóhórí kù; bí a ò bá tútù, a ó bàá gbígbẹ.","One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.","One does not arrive at Death’s door and miss finding heads; if fresh ones are absent, dry ones remain.","['One cannot reach Death’s home without encountering heads; if fresh ones are lacking, one will find spoiled ones instead.', 'One who enters Death’s house will always find heads; if they don’t find new ones, they’ll find broken ones.', 'No one visits Death’s dwelling and leaves empty-handed; if fresh heads aren’t there, they’ll find old ones waiting.']",False,gate=len,S2,"One cannot reach Death’s home without encountering heads; if fresh ones are lacking, one will find spoiled ones instead.","One who enters Death’s house will always find heads; if they don’t find new ones, they’ll find broken ones.","No one visits Death’s dwelling and leaves empty-handed; if fresh heads aren’t there, they’ll find old ones waiting.","One does not arrive at Death’s door and miss finding heads; if fresh ones are absent, dry ones remain.",D
YOR1139,Yoruba,Apárí ní ńfojú di abẹ.,It is a bald person who may be disdainful of the razor.,It is only the bald who might scorn the razor's use,"[""A bald person may admire the razor's edge"", 'Only someone without hair despises a comb', 'A man with a full head of hair would disdain the razor']",False,gate=len,S2,It is only the bald who might scorn the razor's use,A bald person may admire the razor's edge,Only someone without hair despises a comb,A man with a full head of hair would disdain the razor,A
YOR3887,Yoruba,"Ẹni tí yó kọ igba lóko, ìrìn ẹsẹ́-ẹ rẹ̀ là ńwò.",The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 3],The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,[DISTRACTOR 1],[DISTRACTOR 2],B
YOR1776,Yoruba,Ìyàwó jẹ ọkà jẹ igbá.,The wife ate the yam-flour meal and ate the calabash with it.,The wife ate the yam-flour meal and ate the calabash with it.,"['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],The wife ate the yam-flour meal and ate the calabash with it.,[DISTRACTOR 1],C
YOR0204,Yoruba,"Bí a kò bá lè dá Tápà, Tápà kì í dáni.","If one cannot throw a Nupe man in a wrestling match, he should not throw one.","If one cannot throw a Nupe man in a wrestling match, he should not throw one.","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 1],[DISTRACTOR 2],[DISTRACTOR 3],"If one cannot throw a Nupe man in a wrestling match, he should not throw one.",D
YOR2401,Yoruba,"Bí a kò bá pàdé lókè, a ó pàdé lódò.","If we do not meet up on high, we will meet down below.","If we don't reach the summit together, we'll meet at the bottom instead.","['If we fail to compete at the top, we will eventually meet in the middle.', ""If we don't greet each other early, we'll certainly meet at the finish line."", ""If we don't agree on important matters, we will settle our differences below.""]",False,gate=len,S2,"If we don't reach the summit together, we'll meet at the bottom instead.","If we fail to compete at the top, we will eventually meet in the middle.","If we don't greet each other early, we'll certainly meet at the finish line.","If we don't agree on important matters, we will settle our differences below.",A
YOR1873,Yoruba,Olè kì í gbọ́ orúkọ ẹ̀ kó dúró.,A thief does not hear his name and stand in place.,A thief doesn't recognize his own name when called,"[""A thief doesn't hear his name and flee"", ""A thief doesn't hear the alarm and stay still"", 'A thief hears his name and remains still']",False,gate=len,S2,A thief hears his name and remains still,A thief doesn't recognize his own name when called,A thief doesn't hear his name and flee,A thief doesn't hear the alarm and stay still,B
YOR0996,Yoruba,"Ọkọ̀ ńjò, ọkọ̀ ńjò! Ìgbà tó bá rì, kò parí ná?","The boat is leaking, the boat is leaking! After it sinks, won’t matters end?","The boat is leaking, the boat is leaking! After it sinks, won’t matters end?","['[DISTRACTOR 1]', '[DISTRACTOR 2]', '[DISTRACTOR 3]']",True,max_retries,S2,[DISTRACTOR 2],[DISTRACTOR 3],"The boat is leaking, the boat is leaking! After it sinks, won’t matters end?",[DISTRACTOR 1],C
YOR1495,Yoruba,Ọmọ tó káwọ́ sókè ló fẹ́ ká gbé òun.,It is the child who raises its arms that induces people to lift it.,It is the child who reaches upward that invites others to carry it.,"['The people who lift the child are the ones who begin by raising their hands.', 'Lifting the child is a way to demonstrate communal support.', 'The child who is carried becomes the leader of the group.']",False,gate=len,S2,The people who lift the child are the ones who begin by raising their hands.,Lifting the child is a way to demonstrate communal support.,The child who is carried becomes the leader of the group.,It is the child who reaches upward that invites others to carry it.,D
