sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
MID0487,Arabic,وِجّو بيقطع الرزق,This phrase is said to refer to the unlucky people.,"[""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."", ""If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially."", ""It means that appearing too humble can demean a person and make him vulnerable to humiliation.""]",False,S1,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",This phrase is said to refer to the unlucky people.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",It means that appearing too humble can demean a person and make him vulnerable to humiliation.,B
MID0705,Arabic,إطعم الفم تستحى العين.,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.","[""Mistakes are the best teachers — learn from errors."", ""The proverb means that a true friend is the one who supports you when you face difficulties and problems in life."", ""It is used to describe the disappearance of reservations and the absence of barriers between people.""]",False,S1,It is used to describe the disappearance of reservations and the absence of barriers between people.,Mistakes are the best teachers — learn from errors.,"If you want someone to be by your side or to benefit from fhim, you have to be generous with them financially.",The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,C
MID0596,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.","[""This phrase is said to refer to the unlucky people."", ""It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides."", ""It means that appearing too humble can demean a person and make him vulnerable to humiliation.""]",False,S1,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",It means that appearing too humble can demean a person and make him vulnerable to humiliation.,This phrase is said to refer to the unlucky people.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",D
MID0552,Arabic,جمل يعصر وجمل ياكل العصارة:,The proverb refers to people who succeed through the efforts of others.,"[""This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. "", ""(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster."", ""This proverb is used to describe an innocent person who is accused of committing something wrong.""]",False,S1,This proverb is used to describe an innocent person who is accused of committing something wrong.,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,The proverb refers to people who succeed through the efforts of others.,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. ",C
MID0031,Arabic,احفظ قرشك الأبيض ليومك الأسود.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"[""It means that communication with people should be done according to their level of understanding and intellect."", ""This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people."", ""People without taste can’t discern the quality of different things.""]",False,S1,It is a popular proverb used to emphasize the need to save and avoid extravagance.,People without taste can’t discern the quality of different things.,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.",It means that communication with people should be done according to their level of understanding and intellect.,A
MID0591,Arabic,رمية من غير رامي,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,"[""A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well."", ""This proverb is used to describe an ugly woman who is not helped by beautification."", ""It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.""]",False,S1,This proverb is used to describe an ugly woman who is not helped by beautification.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,D
MID0522,Arabic,فود عوجان.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental.","[""The proverb urges not to look back and regret what has passed."", ""It is a popular proverb used to emphasize the need to save and avoid extravagance."", ""It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities)""]",False,S1,It is a popular proverb used to emphasize the need to save and avoid extravagance.,The proverb urges not to look back and regret what has passed.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental.",It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),C
MID0216,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,"[""This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start."", ""Every dog has its day."", ""This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.""]",False,S1,Every dog has its day.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,D
MID0064,Arabic,المَمنُوع مَرْغُوب.,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"[""That means don't involved in dangerous situations to stay safe."", ""This proverb is used to describe an ugly woman who is not helped by beautification."", ""It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.""]",False,S1,This proverb is used to describe an ugly woman who is not helped by beautification.,That means don't involved in dangerous situations to stay safe.,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.",Prohibition may increase people's desire to obtain or experience the forbidden thing.,D
MID0317,Arabic,اللي فات مات (ماتلا عليه التلفات),The proverb urges not to look back and regret what has passed.,"[""It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: \""Birds of one kind and colour always fly in one flock\"", the phrase was slightly different than it is today, but the main meaning is the same."", ""This proverb urges being caution and think wisely before talking."", ""You’re trying to change something that you can’t.""]",False,S1,You’re trying to change something that you can’t.,The proverb urges not to look back and regret what has passed.,This proverb urges being caution and think wisely before talking.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.",B
MID0040,Arabic,الإفراط في التّواضع يجلب المذلّة,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,"[""It means that communication with people should be done according to their level of understanding and intellect."", ""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."", ""It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.""]",False,S1,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.,It means that communication with people should be done according to their level of understanding and intellect.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",C
MID0236,Arabic,اللي فات مات.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","[""This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. "", ""This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood."", ""This phrase is said to refer to the unlucky people.""]",False,S1,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",This phrase is said to refer to the unlucky people.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.",C
MID0059,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,Someone is a natural.,"[""Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it."", ""This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people."", ""A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.""]",False,S1,Someone is a natural.,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",A
MID0425,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,"[""The best answer will come from the person who is not angry."", ""You’re trying to change something that you can’t."", ""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\""""]",False,S1,You’re trying to change something that you can’t.,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",The best answer will come from the person who is not angry.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,D
MID0073,Arabic,خاطبوا الناس على قدر عقولهم.,It means that communication with people should be done according to their level of understanding and intellect.,"[""This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves."", ""This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood."", ""That means don't involved in dangerous situations to stay safe.""]",False,S1,That means don't involved in dangerous situations to stay safe.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.","This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.",It means that communication with people should be done according to their level of understanding and intellect.,D
MID0155,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,Every dog has its day.,"[""The proverb refers to people who succeed through the efforts of others."", ""A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on."", ""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\""""]",False,S1,The proverb refers to people who succeed through the efforts of others.,Every dog has its day.,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",B
MID0169,Arabic,ايش ياخد الريح من البلاط؟,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”","[""It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation."", ""It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite."", ""People without taste can’t discern the quality of different things.""]",False,S1,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”","It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.",People without taste can’t discern the quality of different things.,B
MID0767,Arabic,تجيك التهايم وإنت نايم,This proverb is used to describe an innocent person who is accused of committing something wrong.,"[""The proverb refers to people who succeed through the efforts of others."", ""This proverb is used to describe a person who is ungrateful and betrays others."", ""This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. ""]",False,S1,This proverb is used to describe a person who is ungrateful and betrays others.,The proverb refers to people who succeed through the efforts of others.,This proverb is used to describe an innocent person who is accused of committing something wrong.,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. ",C
MID0622,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","[""One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude."", ""A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on."", ""Every dog has its day.""]",False,S1,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,Every dog has its day.,"A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.",A
MID0071,Arabic,بین المطرقة والسندان.,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.","[""This proverb urges being caution and think wisely before talking."", ""This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people."", ""This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.""]",False,S1,This proverb urges being caution and think wisely before talking.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.","It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",D
MID0068,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,"[""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does."", ""This proverb is used to describe an innocent person who is accused of committing something wrong."", ""The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.""]",False,S1,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,This proverb is used to describe an innocent person who is accused of committing something wrong.,B
MID0307,Arabic, انكشحت بين امعاه لحشيشَ.,It is used to describe the disappearance of reservations and the absence of barriers between people.,"[""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\"""", ""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."", ""Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.""]",False,S1,It is used to describe the disappearance of reservations and the absence of barriers between people.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,A
MID0017,Arabic,اللي ما يعرف الغلط ما يتعلم,Mistakes are the best teachers — learn from errors.,"[""This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. "", ""It is a popular proverb describes a woman who is as beautiful as the moonlight."", ""People without taste can’t discern the quality of different things.""]",False,S1,Mistakes are the best teachers — learn from errors.,It is a popular proverb describes a woman who is as beautiful as the moonlight.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. ",People without taste can’t discern the quality of different things.,A
MID0719,Arabic,اللي يخالط المسعدين يسعد.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","[""This phrase is said to refer to the unlucky people."", ""This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves."", ""Mistakes are the best teachers — learn from errors.""]",False,S1,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.",Mistakes are the best teachers — learn from errors.,This phrase is said to refer to the unlucky people.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",D
MID0639,Arabic,يجي الخريف.. واللواري بتقيف,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.","[""This proverb urges being caution and think wisely before talking."", ""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does."", ""Every dog has its day.""]",False,S1,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,This proverb urges being caution and think wisely before talking.,Every dog has its day.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",D
MID0322,Arabic,كل بخنوس افعين امو اغزال,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.","[""This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood."", ""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does."", ""It means that communication with people should be done according to their level of understanding and intellect.""]",False,S1,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.","This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.",The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,It means that communication with people should be done according to their level of understanding and intellect.,A
MID0785,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح ,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.","[""It is a proverb when an unqualified person says something or makes a good statement and it is credited to him."", ""People without taste can’t discern the quality of different things."", ""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.""]",False,S1,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.",It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,People without taste can’t discern the quality of different things.,B
MID0549,Arabic,بتقول للقمر غيبي وأنا مكانش.,It is a popular proverb describes a woman who is as beautiful as the moonlight.,"[""This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves."", ""This proverb is used to describe an innocent person who is accused of committing something wrong."", ""This proverb is used to describe an ugly woman who is not helped by beautification.""]",False,S1,This proverb is used to describe an innocent person who is accused of committing something wrong.,It is a popular proverb describes a woman who is as beautiful as the moonlight.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.",This proverb is used to describe an ugly woman who is not helped by beautification.,B
MID0343,Arabic, بِيشتَري سَمَك في بَحَر ,"This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen.","[""This proverb is used to describe a person who is ungrateful and betrays others."", ""This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood."", ""That means don't involved in dangerous situations to stay safe.""]",False,S1,"This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.","This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen.",This proverb is used to describe a person who is ungrateful and betrays others.,That means don't involved in dangerous situations to stay safe.,B
MID0276,Arabic,أتبدلت غزلانها بقرودها.,The proverb refers to the change of conditions and bad replaces good.,"[""You’re trying to change something that you can’t."", ""It is a popular proverb used to emphasize the need to save and avoid extravagance."", ""It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: \""Birds of one kind and colour always fly in one flock\"", the phrase was slightly different than it is today, but the main meaning is the same.""]",False,S1,You’re trying to change something that you can’t.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,The proverb refers to the change of conditions and bad replaces good.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.",C
MID0502,Arabic,اللسان مافيه عظم.,This proverb urges being caution and think wisely before talking.,"[""This proverb is used to describe a person who is ungrateful and betrays others."", ""It means that appearing too humble can demean a person and make him vulnerable to humiliation."", ""(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.""]",False,S1,This proverb urges being caution and think wisely before talking.,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,This proverb is used to describe a person who is ungrateful and betrays others.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,A
MID0295,Arabic,شو جاب الزرقا للبلقا.,It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"[""This proverb is said about a person you thought well of, but he deserves you to think badly of him."", ""A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on."", ""It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: \""Birds of one kind and colour always fly in one flock\"", the phrase was slightly different than it is today, but the main meaning is the same.""]",False,S1,It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","A proverb encourages spending money, and Allah will grant you from where you do not expect. Pocket: a bag sewn into clothing to carry money and so on.","This proverb is said about a person you thought well of, but he deserves you to think badly of him.",A
