sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info
MID0596,Arabic,إن ضاق بيك الأمر، اشرب زجاجة خمر,يُستخدم هذا المثل بشكل واسع من قِبل الجعليين والكواهلة والخوالدة والعرايّن في منطقة ود مدني (بحسب الكاتب)، وهو مرفوض دينيًا وطبيًا وعلميًا و논جيًا أيضًا.,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.","[""هذا المثل يشجع على شرب الخمر كحل لتوسيع الأفق في المواقف الصعبة."", ""المثل يُشير إلى أن الزجاجة ترمز إلى الوضوح، ويُستخدم لوصف كيفية حل المشكلات بطريقة منهجية."", ""يُفهم المثل على أنه تشجيع على التمتع باللحظة من خلال الاستمتاع بالحياة.""]",False,S2,هذا المثل يشجع على شرب الخمر كحل لتوسيع الأفق في المواقف الصعبة.,المثل يُشير إلى أن الزجاجة ترمز إلى الوضوح، ويُستخدم لوصف كيفية حل المشكلات بطريقة منهجية.,يُستخدم هذا المثل بشكل واسع من قِبل الجعليين والكواهلة والخوالدة والعرايّن في منطقة ود مدني (بحسب الكاتب)، وهو مرفوض دينيًا وطبيًا وعلميًا و논جيًا أيضًا.,يُفهم المثل على أنه تشجيع على التمتع باللحظة من خلال الاستمتاع بالحياة.,C,1,generated
MID0552,Arabic,جمل يعصر وجمل ياكل العصارة:,يُشير المثل إلى الأشخاص الذين يحققون النجاح من خلال جهود الآخرين.,The proverb refers to people who succeed through the efforts of others.,"[""يُشير المثل إلى الأشخاص الذين يفضلون العمل بشكل فردي دون مساعدة الآخرين."", ""يُشير المثل إلى الأشخاص الذين يعانون من نقص التفاهم في العلاقات الاجتماعية."", ""يُشير المثل إلى الأشخاص الذين يبذلون جهداً لكنهم لا يحققون أي نتائج.""]",False,S2,يُشير المثل إلى الأشخاص الذين يعانون من نقص التفاهم في العلاقات الاجتماعية.,يُشير المثل إلى الأشخاص الذين يفضلون العمل بشكل فردي دون مساعدة الآخرين.,يُشير المثل إلى الأشخاص الذين يحققون النجاح من خلال جهود الآخرين.,يُشير المثل إلى الأشخاص الذين يبذلون جهداً لكنهم لا يحققون أي نتائج.,C,1,generated
MID0031,Arabic,احفظ قرشك الأبيض ليومك الأسود.,إنه لمقول شائع يستخدم لتأكيد ضرورة التوفير والابتعاد عن الإسراف.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"[""إنه لمقول يحث على إهدار المال في الفرح لتجنبه في الحزن."", ""إنه لمقول يشير إلى أهمية إنفاق المال على الملابس الفاخرة في الأوقات الصعبة."", ""إنه لمقول يدعو إلى التصدق بالمال الأبيض في الأيام السوداء.""]",False,S2,إنه لمقول يشير إلى أهمية إنفاق المال على الملابس الفاخرة في الأوقات الصعبة.,إنه لمقول يحث على إهدار المال في الفرح لتجنبه في الحزن.,إنه لمقول يدعو إلى التصدق بالمال الأبيض في الأيام السوداء.,إنه لمقول شائع يستخدم لتأكيد ضرورة التوفير والابتعاد عن الإسراف.,D,1,generated
MID0591,Arabic,رمية من غير رامي,إنه لfolklore عندما يعبر شخص غير مؤهل عن فكرة أو قول موفق يُنسب إليه.,It is a proverb when an unqualified person says something or makes a good statement and it is credited to him.,"[""إنه قول يُستخدم عندما يُتهم شخص بفعل لم يرتكبه."", ""يُستخدم هذا المثل عندما يُظهر شخص غير متوقع مهارة عالية في مجال معين."", ""يُقصد به عندما يتدخل شخص غير مهتم في أمر لا شأن له به.""]",False,S2,يُقصد به عندما يتدخل شخص غير مهتم في أمر لا شأن له به.,يُستخدم هذا المثل عندما يُظهر شخص غير متوقع مهارة عالية في مجال معين.,إنه قول يُستخدم عندما يُتهم شخص بفعل لم يرتكبه.,إنه لfolklore عندما يعبر شخص غير مؤهل عن فكرة أو قول موفق يُنسب إليه.,D,1,generated
MID0522,Arabic,فود عوجان.,يُستخدم هذا المثل لوصف شخص يعود إلى أسرته بعد غياب طويل في البحث عن منفعة، لكنه بدلًا من أن يجلب شيئًا إيجابيًا، يجلب شيئًا ضارًا أو مُضرة.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental.","[""يُشير إلى شخص يبحث عن فرصة عمل في مكان بعيد ثم يعود بثروة كبيرة."", ""يعني أن الشخص الذي يغيب عن أهله يعود حزينًا بسبب مشاكل شخصية."", ""يُقصد به الشخص الذي يعود إلى قريته لزيارة الأقارب فقط دون أي هدف واضح.""]",False,S2,يُقصد به الشخص الذي يعود إلى قريته لزيارة الأقارب فقط دون أي هدف واضح.,يُستخدم هذا المثل لوصف شخص يعود إلى أسرته بعد غياب طويل في البحث عن منفعة، لكنه بدلًا من أن يجلب شيئًا إيجابيًا، يجلب شيئًا ضارًا أو مُضرة.,يُشير إلى شخص يبحث عن فرصة عمل في مكان بعيد ثم يعود بثروة كبيرة.,يعني أن الشخص الذي يغيب عن أهله يعود حزينًا بسبب مشاكل شخصية.,B,1,generated
MID0216,Arabic,اصبوعي في حلوجهم وصبوعهم في عيوني.,يعبر عن رفض الجبن، حيث يقوم البعض بالكثير من الخير ولا يتلقى سوى النكران.,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,"[""يعني أن كل ما تفعله للآخرين يعود إليك ضعفًا."", ""يُشير إلى أن الصبر على الأذى يُثمر عن نتائج طيبة."", ""يُعبر عن أن العفو عن الآخرين يجلب الحظ السعيد.""]",False,S2,يعبر عن رفض الجبن، حيث يقوم البعض بالكثير من الخير ولا يتلقى سوى النكران.,يُعبر عن أن العفو عن الآخرين يجلب الحظ السعيد.,يُشير إلى أن الصبر على الأذى يُثمر عن نتائج طيبة.,يعني أن كل ما تفعله للآخرين يعود إليك ضعفًا.,A,1,generated
MID0064,Arabic,المَمنُوع مَرْغُوب.,المنع قد يزيد رغبة الناس في الحصول على أو تجربة الشيء الممنوع,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"[""الشيء الممنوع دائمًا هو الأفضل"", ""كل ما يُمنع يصبح غير مرغوب فيه"", ""الرغبة تقل عندما يُمنع الشيء""]",False,S2,الرغبة تقل عندما يُمنع الشيء,كل ما يُمنع يصبح غير مرغوب فيه,المنع قد يزيد رغبة الناس في الحصول على أو تجربة الشيء الممنوع,الشيء الممنوع دائمًا هو الأفضل,C,1,generated
MID0317,Arabic,اللي فات مات (ماتلا عليه التلفات),The proverb urges not to look back and regret what has passed.,The proverb urges not to look back and regret what has passed.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,An alternative cultural reading,A different interpretation of this proverb,Another possible meaning,The proverb urges not to look back and regret what has passed.,D,5,hard-fallback
MID0040,Arabic,الإفراط في التّواضع يجلب المذلّة,الإفراط في التواضع يجلب المذلة,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,"[""يعني أن التواضع يجلب دائمًا الاحترام"", ""يعني أن الأشخاص الفخورين ينجذبون للنجاح"", ""يعني أن الإكثار من الثقة يجلب الحسد""]",False,S2,يعني أن الأشخاص الفخورين ينجذبون للنجاح,الإفراط في التواضع يجلب المذلة,يعني أن الإكثار من الثقة يجلب الحسد,يعني أن التواضع يجلب دائمًا الاحترام,B,2,generated
MID0236,Arabic,اللي فات مات.,هذا المثل هو نصيحة نفسية فعالة للأشخاص الذين يربطون تفكيرهم بالماضي، وهو مرض نفسي جدي لأن يؤذي التفكير السليم ويُعَطّل حركة الشخص نحو المستقبل. التفكير يجعل الشخص أسير الماضي وذكرياته المريرة، ويُجعَل يبكي على أنقاض من فات، ولكن الدموع التي تهدر لن تعود، وهذا المثل ينشر روح التفاؤل والبدء من جديد.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","[""هذا المثل يُشير إلى أن الموت هو نهاية كل شيء، فلا معنى للتفكير في الماضي لأن الشخص الذي مات لم يعد موجودًا."", ""الهدف من هذا المثل هو التذكير بأن الوقت يمضي سريعًا، ويجب أن نركز على الجوانب المادية فقط دون العواطف."", ""هذا المثل يُشجع على تجاهل الماضي تمامًا وعدم تعلم الدروس منه، حتى لو كان ذلك ضارًا.""]",False,S2,هذا المثل هو نصيحة نفسية فعالة للأشخاص الذين يربطون تفكيرهم بالماضي، وهو مرض نفسي جدي لأن يؤذي التفكير السليم ويُعَطّل حركة الشخص نحو المستقبل. التفكير يجعل الشخص أسير الماضي وذكرياته المريرة، ويُجعَل يبكي على أنقاض من فات، ولكن الدموع التي تهدر لن تعود، وهذا المثل ينشر روح التفاؤل والبدء من جديد.,الهدف من هذا المثل هو التذكير بأن الوقت يمضي سريعًا، ويجب أن نركز على الجوانب المادية فقط دون العواطف.,هذا المثل يُشجع على تجاهل الماضي تمامًا وعدم تعلم الدروس منه، حتى لو كان ذلك ضارًا.,هذا المثل يُشير إلى أن الموت هو نهاية كل شيء، فلا معنى للتفكير في الماضي لأن الشخص الذي مات لم يعد موجودًا.,A,1,generated
MID0059,Arabic,سماعك بالْمُعَيَدِيِّ خير من أن تراه سمك في ماء,سماعك بالمعيدي خير من أن تراه سمك في الماء,Someone is a natural.,"[""الشخص يُفضل أن يسمع عن المعاني بدلاً من رؤيته."", ""من الأفضل أن تسمع عن الشيء بدلاً من رؤيته."", ""السمكة في الماء تدل على الضعف.""]",False,S2,من الأفضل أن تسمع عن الشيء بدلاً من رؤيته.,سماعك بالمعيدي خير من أن تراه سمك في الماء,الشخص يُفضل أن يسمع عن المعاني بدلاً من رؤيته.,السمكة في الماء تدل على الضعف.,B,1,generated
MID0425,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,يعني هذا المثل أن الشخص البريء دائمًا يتحمل الأخطاء والنتائج التي تترتب على أفعال الشخص المذنب.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,"[""يعني أن الأخ الأكبر يتحمل أخطاء الأخ الأصغر دائمًا."", ""يُشير إلى أن الأغنياء فقط هم من يتحملون عبء أخطاء الفقراء."", ""يعني أن الأهل لا يبالون بالأخطاء ما داموا لا يُمسّونهم مباشرة.""]",False,S2,يُشير إلى أن الأغنياء فقط هم من يتحملون عبء أخطاء الفقراء.,يعني هذا المثل أن الشخص البريء دائمًا يتحمل الأخطاء والنتائج التي تترتب على أفعال الشخص المذنب.,يعني أن الأخ الأكبر يتحمل أخطاء الأخ الأصغر دائمًا.,يعني أن الأهل لا يبالون بالأخطاء ما داموا لا يُمسّونهم مباشرة.,B,1,generated
MID0073,Arabic,خاطبوا الناس على قدر عقولهم.,يجب على الناس التحدث مع الآخرين وفقاً لمستوى فهمهم وذكائهم.,It means that communication with people should be done according to their level of understanding and intellect.,"[""يُقصد به أن كل شخص يجب أن يرفع من مستوى فهمه للتحدث مع الآخرين."", ""يعني أن الناس يجب أن يخاطبوا بعضهم البعض دون احترام الفروق الفردية."", ""يدل على أن التحدث مع الجميع بنفس الطريقة يُظهر الذكاء.""]",False,S2,يدل على أن التحدث مع الجميع بنفس الطريقة يُظهر الذكاء.,يعني أن الناس يجب أن يخاطبوا بعضهم البعض دون احترام الفروق الفردية.,يُقصد به أن كل شخص يجب أن يرفع من مستوى فهمه للتحدث مع الآخرين.,يجب على الناس التحدث مع الآخرين وفقاً لمستوى فهمهم وذكائهم.,D,1,generated
MID0155,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,كل كلب يحتله يومه,Every dog has its day.,"[""كل شخص يحصل على ما يستحق في النهاية"", ""الحياة مليها فرص للجميع"", ""السعادة تأتِي بعد الألم""]",False,S2,كل كلب يحتله يومه,كل شخص يحصل على ما يستحق في النهاية,السعادة تأتِي بعد الألم,الحياة مليها فرص للجميع,A,1,generated
MID0169,Arabic,ايش ياخد الريح من البلاط؟,يقال عن الشخص الذي لا يطمع فيه أحد لأنه لا يملك شيئًا أو لا قيمة له.,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”","[""يقال عن الشخص الذي يملك الكثير لكنه لا يهتم بالآخرين."", ""يقال عن الشخص الذي يخاف من المنافسة ويهرب من المسؤولية."", ""يقال عن الشخص الذي يسعى لمساعدة الآخرين دون مقابل.""]",False,S2,يقال عن الشخص الذي لا يطمع فيه أحد لأنه لا يملك شيئًا أو لا قيمة له.,يقال عن الشخص الذي يسعى لمساعدة الآخرين دون مقابل.,يقال عن الشخص الذي يملك الكثير لكنه لا يهتم بالآخرين.,يقال عن الشخص الذي يخاف من المنافسة ويهرب من المسؤولية.,A,1,generated
MID0767,Arabic,تجيك التهايم وإنت نايم,تُستخدم هذه القاعدة لتوصيف شخص невин مُتهم بارتكاب شيء خاطئ,This proverb is used to describe an innocent person who is accused of committing something wrong.,"[""تُستخدم هذه القاعدة للإشارة إلى شخص ينام كثيرًا ويعيش في عالم خيالي"", ""تُستخدم هذه القاعدة للتعبير عن شخص يحصل على ما يريده دون بذل جهد"", ""تُستخدم هذه القاعدة للإشارة إلى شخص ينسى مسؤولياته عندما ينام""]",False,S2,تُستخدم هذه القاعدة لتوصيف شخص невин مُتهم بارتكاب شيء خاطئ,تُستخدم هذه القاعدة للتعبير عن شخص يحصل على ما يريده دون بذل جهد,تُستخدم هذه القاعدة للإشارة إلى شخص ينسى مسؤولياته عندما ينام,تُستخدم هذه القاعدة للإشارة إلى شخص ينام كثيرًا ويعيش في عالم خيالي,A,1,generated
MID0622,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"الشخص الذي يعطيك القليل بمحبة وابتسامة أفضل من الذي يعطيك الكثير بلا لطف، مثل المثل المصري ""اقابلني ولا تطعمني"".","Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","[""من الأفضل أن ترفض الطعام من شخص غضبان أكثر مما تقبله من شخص سعيد."", ""يعني أن الأكل من اليد اليسرى أفضل من اليد اليمنى إذا كان المُطعم غاضبًا."", ""الإكرام بالكلام أفضل من الإكرام بالأطعمة في بعض الأحيان.""]",False,S2,يعني أن الأكل من اليد اليسرى أفضل من اليد اليمنى إذا كان المُطعم غاضبًا.,من الأفضل أن ترفض الطعام من شخص غضبان أكثر مما تقبله من شخص سعيد.,الإكرام بالكلام أفضل من الإكرام بالأطعمة في بعض الأحيان.,"الشخص الذي يعطيك القليل بمحبة وابتسامة أفضل من الذي يعطيك الكثير بلا لطف، مثل المثل المصري ""اقابلني ولا تطعمني"".",D,1,generated
MID0071,Arabic,بین المطرقة والسندان.,يعني أن الشخص أو الوضع في حالة صعبة ومتاعب من جهتين، ولا يوجد خروج سهل من الوضعية.,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.","[""يعني أن الشخص يأخذ قرارات سريعة دون تفكير جيد."", ""يعني أن الشخص يعيش في رفاهية وراحة تامة."", ""يعني أن الشخص يبحث عن مشاكل ليست موجودة.""]",False,S2,يعني أن الشخص أو الوضع في حالة صعبة ومتاعب من جهتين، ولا يوجد خروج سهل من الوضعية.,يعني أن الشخص يأخذ قرارات سريعة دون تفكير جيد.,يعني أن الشخص يبحث عن مشاكل ليست موجودة.,يعني أن الشخص يعيش في رفاهية وراحة تامة.,A,1,generated
MID0068,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج,الوقاية خير من العلاج تعني أن اتخاذ التدابير الوقائية للavoidance المشاكل أو الأمراض أفضل بكثير من الانتظار حتى تحدث المشكلة ومن ثم محاولة علاجها.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,"[""الوقاية خير من العلاج تعني أن العلاج الفوري هو الأفضل في كل الحالات."", ""الوقاية خير من العلاج تعني أن من الأفضل دائمًا إهمال المشاكل بدلاً من محاولة تجنبها."", ""الوقاية خير من العلاج تعني أن الوقاية فعالة فقط في حالات معينة وليس في جميع الأوقات.""]",False,S2,الوقاية خير من العلاج تعني أن الوقاية فعالة فقط في حالات معينة وليس في جميع الأوقات.,الوقاية خير من العلاج تعني أن العلاج الفوري هو الأفضل في كل الحالات.,الوقاية خير من العلاج تعني أن اتخاذ التدابير الوقائية للavoidance المشاكل أو الأمراض أفضل بكثير من الانتظار حتى تحدث المشكلة ومن ثم محاولة علاجها.,الوقاية خير من العلاج تعني أن من الأفضل دائمًا إهمال المشاكل بدلاً من محاولة تجنبها.,C,1,generated
MID0307,Arabic,انكشحت بين امعاه لحشيشَ.,العبارة تُستخدم لوصف اختفاء الحواجز وغياب العقبات بين الناس.,It is used to describe the disappearance of reservations and the absence of barriers between people.,"[""العبارة تُشير إلى بداية خلاف بين الأصدقاء."", ""العبارة تعني التحلي بالصبر في المواقف الصعبة."", ""العبارة تُستخدم للتعبير عن الشعور بالخجل في المناسبات الاجتماعية.""]",False,S2,العبارة تُشير إلى بداية خلاف بين الأصدقاء.,العبارة تُستخدم للتعبير عن الشعور بالخجل في المناسبات الاجتماعية.,العبارة تُستخدم لوصف اختفاء الحواجز وغياب العقبات بين الناس.,العبارة تعني التحلي بالصبر في المواقف الصعبة.,C,1,generated
MID0017,Arabic,اللي ما يعرف الغلط ما يتعلم,الخطأ هو أفضل معلم — تعلم من الأخطاء,Mistakes are the best teachers — learn from errors.,"[""من لا يرتكب أخطاء لا ينجح"", ""من لا يعرف الأخطاء لا يتعلم الحكمة"", ""من يتجنب الأخطاء يفقد الفرصة""]",False,S2,من لا يعرف الأخطاء لا يتعلم الحكمة,الخطأ هو أفضل معلم — تعلم من الأخطاء,من لا يرتكب أخطاء لا ينجح,من يتجنب الأخطاء يفقد الفرصة,B,1,generated
MID0719,Arabic,اللي يخالط المسعدين يسعد.,السعادة متعدية، فإذا كنت تعيش مع شخص سعيد، ستصبح سعيدًا. الشخص السعيد قد لا يعطيك من ماله، لكنه قد يريّك طريق السعادة,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","[""الشخص الذي يرتبط بالأشخاص الغنيّين سيصبح غنيًّا بنفس الطريقة"", ""من يرافق الأشخاص المتعبين سيصبح متعبًا أيضًا"", ""من يعيش مع الأشخاص المتأثرين سيتأثر بهم سلبًا""]",False,S2,الشخص الذي يرتبط بالأشخاص الغنيّين سيصبح غنيًّا بنفس الطريقة,من يعيش مع الأشخاص المتأثرين سيتأثر بهم سلبًا,السعادة متعدية، فإذا كنت تعيش مع شخص سعيد، ستصبح سعيدًا. الشخص السعيد قد لا يعطيك من ماله، لكنه قد يريّك طريق السعادة,من يرافق الأشخاص المتعبين سيصبح متعبًا أيضًا,C,3,generated
MID0639,Arabic,يجي الخريف.. واللواري بتقيف,يستخدم المثل عندما يحتاج شخص إلى شيء يمتلكه شخص آخر يعرفه، فيرد الشخص الآخر رفض منحه إياه، ف يتذكّر له الشخص المحتاج أن يوماً ما سيحتاج هو أيضاً إلى شيء.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.","[""يُستخدم المثل للتعبير عن الفرح بقدوم فصل الخريف وحدوث تغيّر في الطقس."", ""يُستخدم المثل لوصف العلاقة بين الصديق والخصم، حيث يُظهر أحدهما تعاوناً مزيفاً."", ""يُستخدم المثل للإشارة إلى أن الأشخاص يغيّرون مواقفهم بناءً على مصلحتهم الشخصية فقط.""]",False,S2,يُستخدم المثل للتعبير عن الفرح بقدوم فصل الخريف وحدوث تغيّر في الطقس.,يستخدم المثل عندما يحتاج شخص إلى شيء يمتلكه شخص آخر يعرفه، فيرد الشخص الآخر رفض منحه إياه، ف يتذكّر له الشخص المحتاج أن يوماً ما سيحتاج هو أيضاً إلى شيء.,يُستخدم المثل للإشارة إلى أن الأشخاص يغيّرون مواقفهم بناءً على مصلحتهم الشخصية فقط.,يُستخدم المثل لوصف العلاقة بين الصديق والخصم، حيث يُظهر أحدهما تعاوناً مزيفاً.,B,1,generated
MID0322,Arabic,كل بخنوس افعين امو اغزال,يُعبَّر عن حب الأم لילדِها الذي لا ترى فيه أيَّ عَيب، حتى لو رآه الآخرون العكسُ,"It is said to express a mother's love for her children, who sees no fault in them, even if people see the opposite.","[""يُعبَّر عن ضرورة تقبُّل الناس لبعضهم البعض بغض النظر عن اختلافاتهم"", ""يُعبَّر عن أهمية التفاؤل ورؤية الجوانب الجميلة في الحياة حتى في الأوقات الصعبة"", ""يُعبَّر عن ضرورة احترام الآراء المختلفة وعدم التعرض لها""]",False,S2,يُعبَّر عن ضرورة تقبُّل الناس لبعضهم البعض بغض النظر عن اختلافاتهم,يُعبَّر عن ضرورة احترام الآراء المختلفة وعدم التعرض لها,يُعبَّر عن أهمية التفاؤل ورؤية الجوانب الجميلة في الحياة حتى في الأوقات الصعبة,يُعبَّر عن حب الأم لילדِها الذي لا ترى فيه أيَّ عَيب، حتى لو رآه الآخرون العكسُ,D,1,generated
MID0785,Arabic,الباب اللى إِيجيك منه الريح، سده واستريح,يُستخدم هذا المثل لتحذير الناس من الدخول في المشاكل والخصومات، والابتعاد عن الأسباب التي تثير النزاعات والجذب بين الناس.,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.","[""يُستخدم هذا المثل للتشجيع على مواجهة المشاكل بجرأة وعدم الخوف من التحديات."", ""يُستخدم هذا المثل لوصف الشخص الذي يفتح الأبواب أمام الآخرين ليواجهوا المشاكل نيابة عنه."", ""يُستخدم هذا المثل كنداء للعمل الجماعي والتعاون في حل المشكلات بدلاً من التفرّد.""]",False,S2,يُستخدم هذا المثل كنداء للعمل الجماعي والتعاون في حل المشكلات بدلاً من التفرّد.,يُستخدم هذا المثل لتحذير الناس من الدخول في المشاكل والخصومات، والابتعاد عن الأسباب التي تثير النزاعات والجذب بين الناس.,يُستخدم هذا المثل للتشجيع على مواجهة المشاكل بجرأة وعدم الخوف من التحديات.,يُستخدم هذا المثل لوصف الشخص الذي يفتح الأبواب أمام الآخرين ليواجهوا المشاكل نيابة عنه.,B,1,generated
MID0549,Arabic,بتقول للقمر غيبي وأنا مكانش.,بتقول للقمر غيبي وأنا مكانش تعني أن المرأة جميلة جداً كأنها ضوء القمر نفسه.,It is a popular proverb describes a woman who is as beautiful as the moonlight.,"[""تعني أن الشخص يطلب من القمر أن يختفي لأنه لا يريد أن يرى ضوءه."", ""تعني أن المرأة تحاول أن تختبئ من القمر لأنها تخاف منه."", ""تعني أن الشخص يتحدث إلى القمر لأنه صديقه الوحيد.""]",False,S2,تعني أن الشخص يطلب من القمر أن يختفي لأنه لا يريد أن يرى ضوءه.,بتقول للقمر غيبي وأنا مكانش تعني أن المرأة جميلة جداً كأنها ضوء القمر نفسه.,تعني أن الشخص يتحدث إلى القمر لأنه صديقه الوحيد.,تعني أن المرأة تحاول أن تختبئ من القمر لأنها تخاف منه.,B,1,generated
MID0343,Arabic,بِيشتَري سَمَك في بَحَر,لا يمكنك شراء شيء دون رؤيته وتقديره، تمامًا كما لا يمكنك شراء سمك موجود في البحر، ويُستخدم عندما يُعبّر شخص عن رأيه في شيء لم يجربه أو يره.,"This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen.","[""يشير إلى شخص يبيع شيئًا يمتلكه بالفعل لشخص آخر دون أن يعلم بذلك."", ""يُقصد به من يشتري شيئًا دون أن يدفع ثمنه."", ""يُشير إلى من يبيع شيئًا مفقودًا أو غير موجود في الواقع.""]",False,S2,يُشير إلى من يبيع شيئًا مفقودًا أو غير موجود في الواقع.,يُقصد به من يشتري شيئًا دون أن يدفع ثمنه.,يشير إلى شخص يبيع شيئًا يمتلكه بالفعل لشخص آخر دون أن يعلم بذلك.,لا يمكنك شراء شيء دون رؤيته وتقديره، تمامًا كما لا يمكنك شراء سمك موجود في البحر، ويُستخدم عندما يُعبّر شخص عن رأيه في شيء لم يجربه أو يره.,D,1,generated
MID0276,Arabic,أتبدلت غزلانها بقرودها.,تغيرت الظروف وانتقلت من الأفضل إلى الأسوأ,The proverb refers to the change of conditions and bad replaces good.,"[""استبدل الأشياء الثمينة بالشيء الرخيص"", ""الشخص يفضل الأصدقاء على العائلة"", ""الشخص يتحول من حال إلى حال أفضل""]",False,S2,استبدل الأشياء الثمينة بالشيء الرخيص,الشخص يفضل الأصدقاء على العائلة,تغيرت الظروف وانتقلت من الأفضل إلى الأسوأ,الشخص يتحول من حال إلى حال أفضل,C,1,generated
MID0502,Arabic,اللسان مافيه عظم.,يعني أن اللسان لا يحتوي على عظام، لذا يجب التحدث بلطف,This proverb urges being caution and think wisely before talking.,"[""يعني أن الحديث بدون تفكير قد يؤدي إلى المشاكل"", ""يعني أن الصمت أفضل من الكلام الزائد في بعض الأوقات"", ""يعني أن الأقوال يمكن أن تكون قوية مثل العظام""]",False,S2,يعني أن اللسان لا يحتوي على عظام، لذا يجب التحدث بلطف,يعني أن الأقوال يمكن أن تكون قوية مثل العظام,يعني أن الصمت أفضل من الكلام الزائد في بعض الأوقات,يعني أن الحديث بدون تفكير قد يؤدي إلى المشاكل,A,1,generated
MID0295,Arabic,شو جاب الزرقا للبلقا.,يستخدم للدلالة على مقارنة مكانين مختلفين أو شيئين متعارضين (حيث Zarqa وBalqa مدينتان أردنيتان),It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"[""يدل على العلاقة بين شخصين مقربين من بعضهما"", ""يشير إلى التغير المناخي في الأردن"", ""يُفهم منه التشابه التام بين شخصين أو شيئين""]",False,S2,يُفهم منه التشابه التام بين شخصين أو شيئين,يدل على العلاقة بين شخصين مقربين من بعضهما,يستخدم للدلالة على مقارنة مكانين مختلفين أو شيئين متعارضين (حيث Zarqa وBalqa مدينتان أردنيتان),يشير إلى التغير المناخي في الأردن,C,1,generated
MID0500,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,هذا المثل يُقال عن الشخص الذي كنت تُقدّره، لكنه يستحق أن تنظر إليه بسلبية,"This proverb is said about a person you thought well of, but he deserves you to think badly of him.","[""يُستخدم هذا المثل لوصف الشخص الذي يُظهر اهتمامًا بالآخرين فقط لينال مكاسب شخصية"", ""هذا المثل يُشير إلى شخص يُظهر خداعًا من خلال أقواله فقط"", ""يُقصد به الشخص الذي يعتمد على الآخرين دون أن يقدم شيئًا مُقابل""]",False,S2,هذا المثل يُقال عن الشخص الذي كنت تُقدّره، لكنه يستحق أن تنظر إليه بسلبية,هذا المثل يُشير إلى شخص يُظهر خداعًا من خلال أقواله فقط,يُستخدم هذا المثل لوصف الشخص الذي يُظهر اهتمامًا بالآخرين فقط لينال مكاسب شخصية,يُقصد به الشخص الذي يعتمد على الآخرين دون أن يقدم شيئًا مُقابل,A,1,generated
