sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
MID0500,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,Give him an inch and he'll take a mile.,Give him an inch and he'll take a mile.,"['Look what the cat dragged in.', 'Putting lipstick on a pig.', 'The worst is yet to come.']",False,S1,The worst is yet to come.,Give him an inch and he'll take a mile.,Look what the cat dragged in.,Putting lipstick on a pig.,B
MID0631,Arabic,مد رجليك قدر لحافك,Cut your coat according to your cloth.,Cut your coat according to your cloth.,"['where there is nothing the king loses his rights', 'To break the ice.', 'Think before you speak.']",False,S1,To break the ice.,Think before you speak.,Cut your coat according to your cloth.,where there is nothing the king loses his rights,C
MID0024,Arabic,إنّ الطيور على أشكالها تقع, Birds of a feather flock together., Birds of a feather flock together.,"['A rose among thorns.', 'Sometimes the innocent suffer with the guilty.', 'Let them drink and forget their poverty and remember their misery no more.']",False,S1,A rose among thorns.,Sometimes the innocent suffer with the guilty.,Let them drink and forget their poverty and remember their misery no more.,Birds of a feather flock together.,D
MID0441,Arabic,شو بتعمل الماشطه بهالوش العكر.,Putting lipstick on a pig.,Putting lipstick on a pig.,"['Born to suffer./ You can not escape bad luck', 'For the Bedouin, it’s all soap', 'Evil in return for god deed.']",False,S1,Putting lipstick on a pig.,Born to suffer./ You can not escape bad luck,"For the Bedouin, it’s all soap",Evil in return for god deed.,A
MID0412,Arabic,لي خاف سلم. ,The one who shows his fears ensures his salvation.,The one who shows his fears ensures his salvation.,"['Evil in return for god deed.', 'The worst is yet to come.', 'A flash in a pan.']",False,S1,A flash in a pan.,The one who shows his fears ensures his salvation.,Evil in return for god deed.,The worst is yet to come.,B
MID0219,Arabic,البحر فيه لاغش,The worst is yet to come.,The worst is yet to come.,"['Happiness is contagious.', 'A bribe works miracles.', 'Apples and oranges.']",False,S1,A bribe works miracles.,Apples and oranges.,The worst is yet to come.,Happiness is contagious.,C
MID0523,Arabic,قرصه في ناره وعينه على جاره.,The grass is always greener on the other side,The grass is always greener on the other side,"['Sometimes the innocent suffer with the guilty.', 'Beauty is in the eye of the beholder.\n', 'a jinx on the house']",False,S1,Sometimes the innocent suffer with the guilty.,Beauty is in the eye of the beholder.,a jinx on the house,The grass is always greener on the other side,D
MID0614,Arabic,القُفه ام اضنين بشيلوها نفرين.,It takes two to tango.,It takes two to tango.,"['Let them drink and forget their poverty and remember their misery no more.', 'The best answer will come from the person who is not angry.', 'Prevention is better than cure']",False,S1,It takes two to tango.,Let them drink and forget their poverty and remember their misery no more.,The best answer will come from the person who is not angry.,Prevention is better than cure,A
MID0912,Arabic,كلّه عند العرب صابون,"For the Bedouin, it’s all soap","For the Bedouin, it’s all soap","['Between the upper and nether millstone.', 'let bygones be bygones.', 'Happiness is contagious.']",False,S1,Happiness is contagious.,"For the Bedouin, it’s all soap",Between the upper and nether millstone.,let bygones be bygones.,B
MID0755,Arabic,إنفخ يا شريم قال ماكو برطم ,Born to suffer./ You can not escape bad luck,Born to suffer./ You can not escape bad luck,"['Spend money to make money.', 'The grass is always greener on the other side', 'Like a fish in water.']",False,S1,The grass is always greener on the other side,Like a fish in water.,Born to suffer./ You can not escape bad luck,Spend money to make money.,C
MID0605,Arabic,التسوي كريت تلقى في جلدها.,What goes around comes around.,What goes around comes around.,"[""A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent."", 'A friend in need is a friend indeed.', ' If you humble yourself too much, you will get trampled on.']",False,S1,A falling master makes a standing servant. / It is a sorry house where the hens' crow and the cock is silent.,A friend in need is a friend indeed.,"If you humble yourself too much, you will get trampled on.",What goes around comes around.,D
MID0826,Arabic,أحضر الناس جوابا من لم يغضب,The best answer will come from the person who is not angry.,The best answer will come from the person who is not angry.,"['Look what the cat dragged in.', 'Prevention is better than cure', 'To break the ice.']",False,S1,The best answer will come from the person who is not angry.,Look what the cat dragged in.,Prevention is better than cure,To break the ice.,A
MID0744,Arabic,كل من كان عالي وطى كل من كان سارح بالشياه هطى,Pride goes before a fall.,Pride goes before a fall.,"['Half a loaf is better than no bread', '\nBetter is a dinner of herbs where love is, than a stalled ox and hatred therewith.', 'let bygones be bygones.']",False,S1,let bygones be bygones.,Pride goes before a fall.,Half a loaf is better than no bread,"Better is a dinner of herbs where love is, than a stalled ox and hatred therewith.",B
YOR1930,Yoruba,"Bí a kò lówó, à léèyàn; bí a kò léèyàn à lóhùn rere lòrun.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.","['One cannot live amid forty people and never misspeak.', 'One should first chase the jackal away before reprimanding the chicken.', 'The younger person does not give the older person history lectures.']",False,S1,"If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",One cannot live amid forty people and never misspeak.,One should first chase the jackal away before reprimanding the chicken.,The younger person does not give the older person history lectures.,A
YOR1569,Yoruba,"A-kápò-má-ṣọdẹ: ọ̀tá ẹranko, ọ̀tá èèyàn.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,"['It is with both its eyes and its feathers that the partridge sees.', 'Though we might travel as a group, we do not know who is destined to prosper.', 'Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.']",False,S1,"Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,It is with both its eyes and its feathers that the partridge sees.,"Though we might travel as a group, we do not know who is destined to prosper.",B
YOR2171,Yoruba,Iwájú la ti ńjogún; ẹ̀hìn la ti ńṣàgbà.,"One inherits from one’s front, and one sets an example at one’s back.","One inherits from one’s front, and one sets an example at one’s back.","['The wife ate the yam-flour meal and ate the calabash with it.', 'It is with both its eyes and its feathers that the partridge sees.', 'The sheep does not change its clothing from year to year.']",False,S1,It is with both its eyes and its feathers that the partridge sees.,The sheep does not change its clothing from year to year.,"One inherits from one’s front, and one sets an example at one’s back.",The wife ate the yam-flour meal and ate the calabash with it.,C
YOR1240,Yoruba,"Ẹ̀rù kì í ba igbó, bẹ́ẹ̀ni kì í ba odò; ẹ̀rù kì í ba ọlọ lójú ata.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","['One does not treat one’s own sore and yet cry from the pain.', 'The owner of the ring has taken back his ring; the fingers of the friend are now empty.', 'One inherits from one’s front, and one sets an example at one’s back.']",False,S1,One does not treat one’s own sore and yet cry from the pain.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"One inherits from one’s front, and one sets an example at one’s back.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",D
YOR3981,Yoruba,"Ilé tí a gbá èèyàn létí wọ̀, bó pe títí a ó gbàá èèyàn létí jáde níbẹ̀.",A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"['It is a bald person who may be disdainful of the razor.', 'It is the child who raises its arms that induces people to lift it.', 'The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.']",False,S1,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,It is a bald person who may be disdainful of the razor.,It is the child who raises its arms that induces people to lift it.,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",A
YOR1407,Yoruba,"Ojú ti kókó, ojú ti eéwo; ojú ti aáràgbá ìdí pẹ̀lú.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","['If we do not meet up on high, we will meet down below.', 'The boat is leaking, the boat is leaking! After it sinks, won’t matters end?', 'The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child? ']",False,S1,"The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child?","The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.","If we do not meet up on high, we will meet down below.","The boat is leaking, the boat is leaking! After it sinks, won’t matters end?",B
YOR2410,Yoruba,"Bí ẹ̀bìtì ò pa eku, a kó ẹyìn fẹ́lẹ́yìn.","If the snare does not kill the rat, it returns the kernel bait to the owner.","If the snare does not kill the rat, it returns the kernel bait to the owner.","['She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.', 'The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.', 'The sheep does not change its clothing from year to year.']",False,S1,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",The sheep does not change its clothing from year to year.,"If the snare does not kill the rat, it returns the kernel bait to the owner.",She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,C
YOR1521,Yoruba,Tojú tìyẹ́ làparò-ó fi ńríran.,It is with both its eyes and its feathers that the partridge sees.,It is with both its eyes and its feathers that the partridge sees.,"['A child who shits on the path brings down curses on its mother. B', 'It is the person who is revered that will disgrace himself or herself.', 'He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.']",False,S1,A child who shits on the path brings down curses on its mother. B,It is the person who is revered that will disgrace himself or herself.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",It is with both its eyes and its feathers that the partridge sees.,D
YOR3426,Yoruba,"Olórùká gbòrùka, ọwọ́ àwé dòfo.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"['One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.', 'He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.', 'The sheep does not change its clothing from year to year.']",False,S1,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,"One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,The sheep does not change its clothing from year to year.,A
YOR1130,Yoruba,Alágbàró ò yege; aláṣọ á gbà á bó dọ̀la.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,"['A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.', 'The younger person does not give the older person history lectures.', 'One does not treat one’s own sore and yet cry from the pain.']",False,S1,One does not treat one’s own sore and yet cry from the pain.,She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,The younger person does not give the older person history lectures.,B
YOR0370,Yoruba,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,What does a bald man want in the stall of the barber?,"['The owner of the ring has taken back his ring; the fingers of the friend are now empty.', 'The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,"The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",What does a bald man want in the stall of the barber?,The owner of the ring has taken back his ring; the fingers of the friend are now empty.,C
YOR2447,Yoruba,Ẹni tí ajá bá wá sóde lajá ḿbá relé.,Whoever the dog came out with is the per son the dog returns home with.,Whoever the dog came out with is the per son the dog returns home with.,"['He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.', 'One inherits from one’s front, and one sets an example at one’s back.', 'It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.']",False,S1,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,"One inherits from one’s front, and one sets an example at one’s back.",It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,Whoever the dog came out with is the per son the dog returns home with.,D
YOR0938,Yoruba,Omi là ńkọ́-ọ́ tẹ̀ ká tó tẹ iyanrìn.,Water is the first thing one’s foot encounters before it encounters the sand.,Water is the first thing one’s foot encounters before it encounters the sand.,"['What does a bald man want in the stall of the barber?', 'One does not treat one’s own sore and yet cry from the pain.', 'No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.']",False,S1,Water is the first thing one’s foot encounters before it encounters the sand.,What does a bald man want in the stall of the barber?,One does not treat one’s own sore and yet cry from the pain.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,A
YOR2476,Yoruba,Ọ́bún ba irú aṣọ jẹ.,The filthy person destroys the appeal of a style of clothing.,The filthy person destroys the appeal of a style of clothing.,"['One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.', 'The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",The filthy person destroys the appeal of a style of clothing.,"One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",B
YOR2639,Yoruba,A kì í gbé àárín ojì èèyàn ká má ṣì wí.,One cannot live amid forty people and never misspeak.,One cannot live amid forty people and never misspeak.,"['It is a bald person who may be disdainful of the razor.', 'It is with both its eyes and its feathers that the partridge sees.', 'The industrious person is the enemy of the shiftless person.']",False,S1,It is with both its eyes and its feathers that the partridge sees.,The industrious person is the enemy of the shiftless person.,One cannot live amid forty people and never misspeak.,It is a bald person who may be disdainful of the razor.,C
YOR2231,Yoruba,Aṣusọ́nà ní ńfi ìyá-a rẹ̀ gbèpè,A child who shits on the path brings down curses on its mother. B,A child who shits on the path brings down curses on its mother. B,"['Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ', 'Days do not go on straight like an avenue.', 'The sheep does not change its clothing from year to year.']",False,S1,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief.,Days do not go on straight like an avenue.,The sheep does not change its clothing from year to year.,A child who shits on the path brings down curses on its mother. B,D
YOR0708,Yoruba,Ẹni tí a bá ńbá ṣíṣẹ́kí í ṣí lẹ; bórí bá túnni ṣe a kì í tẹ́ bọ̀rọ̀.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"['The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.', 'No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.', 'What does a bald man want in the stall of the barber?']",False,S1,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,What does a bald man want in the stall of the barber?,A
YOR1886,Yoruba,TẸ̀gbá tẸ̀sà ló mọ Láfì lágẹmọ; gbogbo ayé ló mọ Tẹlẹ̀mú lólè.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ,"['Fear of losing face within one’s home dis suades one from eating day-old chicks.', 'The stew having cooled, one hollows one’s palm to eat it.', 'The rain pounds the gbòdògì, producing a loud noise.']",False,S1,"The rain pounds the gbòdògì, producing a loud noise.",Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief.,Fear of losing face within one’s home dis suades one from eating day-old chicks.,"The stew having cooled, one hollows one’s palm to eat it.",B
YOR0015,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One does not carry debt around one’s neck and live like a dandy.,One does not carry debt around one’s neck and live like a dandy.,"['It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.', 'The younger person does not give the older person history lectures.', 'The industrious person is the enemy of the shiftless person.']",False,S1,The younger person does not give the older person history lectures.,The industrious person is the enemy of the shiftless person.,One does not carry debt around one’s neck and live like a dandy.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,C
YOR1449,Yoruba,Òṣìṣẹ́ lọ̀tá ọ̀lẹ.,The industrious person is the enemy of the shiftless person.,The industrious person is the enemy of the shiftless person.,"['Whoever the dog came out with is the per son the dog returns home with.', 'It is with both its eyes and its feathers that the partridge sees.', 'Three misfortunes that befell the person who would kill a squirrel with a cutlass: the squirrel escaped, the cutlass was lost, and the owner of the cutlass demanded its return.']",False,S1,Whoever the dog came out with is the per son the dog returns home with.,It is with both its eyes and its feathers that the partridge sees.,"Three misfortunes that befell the person who would kill a squirrel with a cutlass: the squirrel escaped, the cutlass was lost, and the owner of the cutlass demanded its return.",The industrious person is the enemy of the shiftless person.,D
YOR4105,Yoruba,Ọjo kì í to lọ bi òréré.,Days do not go on straight like an avenue.,Days do not go on straight like an avenue.,"['No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.', 'A child who shits on the path brings down curses on its mother. B', 'A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.']",False,S1,Days do not go on straight like an avenue.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,A child who shits on the path brings down curses on its mother. B,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,A
YOR1710,Yoruba,"""Ọ̀ràn yí ò dùn mí"": ẹ̀ẹ̀kanṣoṣo là ńwí i. ","""This matter does not hurt me"": stating it only once suffices.","""This matter does not hurt me"": stating it only once suffices.","['The owner of the ring has taken back his ring; the fingers of the friend are now empty.', 'The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.', 'One does not treat one’s own sore and yet cry from the pain.']",False,S1,One does not treat one’s own sore and yet cry from the pain.,"""This matter does not hurt me"": stating it only once suffices.",The owner of the ring has taken back his ring; the fingers of the friend are now empty.,The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,B
YOR1463,Yoruba,"Ọbẹ̀-ẹ́ tutù tán, a dawọ́ bù ú lá.","The stew having cooled, one hollows one’s palm to eat it.","The stew having cooled, one hollows one’s palm to eat it.","['She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.', 'He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.', 'Fear of losing face within one’s home dis suades one from eating day-old chicks.']",False,S1,He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,Fear of losing face within one’s home dis suades one from eating day-old chicks.,"The stew having cooled, one hollows one’s palm to eat it.",She who borrows a wrapper skirt to wear is not home free; the owner of the cloth will take it back tomorrow.,C
YOR1685,Yoruba,Ohun tí a ó fẹ́ kéèyàn ó mọ̀ là ńṣe lábẹ́lẹ̀.,It is what one wishes to keep a secret that one does in private.,It is what one wishes to keep a secret that one does in private.,"['The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.', 'Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ', 'Days do not go on straight like an avenue.']",False,S1,The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief.,Days do not go on straight like an avenue.,It is what one wishes to keep a secret that one does in private.,D
YOR2232,Yoruba,Bàbá laláàbò; ìyá lonírànwọ́; orogún nikú,A father is a protector; a mother is a helper; a co-wife is death.,A father is a protector; a mother is a helper; a co-wife is death.,"['A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.', 'One does not treat one’s own sore and yet cry from the pain.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,A father is a protector; a mother is a helper; a co-wife is death.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,One does not treat one’s own sore and yet cry from the pain.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",A
YOR1583,Yoruba,"Asárélówó ḿbẹ lọ́nà ogun; Apọ̀ṣẹ̀ṣẹ̀ m̀bẹ lọ́nà èrò; Bó-pẹ́-títí-ng-ó-lá ḿbẹlábà, ó ńjẹ ẹ̀sun iṣu.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","['If the snare does not kill the rat, it returns the kernel bait to the owner.', 'He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.', 'Days do not go on straight like an avenue.']",False,S1,Days do not go on straight like an avenue.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","If the snare does not kill the rat, it returns the kernel bait to the owner.",He-who-carries-a-hunting-bag-but-does not-hunt: enemy alike of man and beast.,B
YOR3430,Yoruba,Òṣùpá ò mòde òtòṣì; bó bá délé ọlọ́rọ̀ á dé tèmi.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","['One does not carry debt around one’s neck and live like a dandy.', 'A thief does not hear his name and stand in place.', 'Anger [is the] father of hopelessness.']",False,S1,A thief does not hear his name and stand in place.,Anger [is the] father of hopelessness.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",One does not carry debt around one’s neck and live like a dandy.,C
YOR3039,Yoruba,"À ńjọ- rìn, a kò mọ orí olówó.","Though we might travel as a group, we do not know who is destined to prosper.","Though we might travel as a group, we do not know who is destined to prosper.","['A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.', 'One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.', 'What does a bald man want in the stall of the barber?']",False,S1,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.",What does a bald man want in the stall of the barber?,"Though we might travel as a group, we do not know who is destined to prosper.",D
YOR0282,Yoruba,Ẹni à ńgbé gẹ̀gẹ̀ ni yó ba àrà rẹ̀ jẹ.,It is the person who is revered that will disgrace himself or herself.,It is the person who is revered that will disgrace himself or herself.,"['The industrious person is the enemy of the shiftless person.', 'The younger person does not give the older person history lectures.', 'It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.']",False,S1,It is the person who is revered that will disgrace himself or herself.,The industrious person is the enemy of the shiftless person.,The younger person does not give the older person history lectures.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,A
YOR3313,Yoruba,Ọ̀já kan ò dàbí já òróòro; òkè kan ò dàbí Òkèe Gbadi; ọmú kan ò dùn bí ọmú ìyá ẹni.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,"['A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.', 'The stew having cooled, one hollows one’s palm to eat it.', 'Days do not go on straight like an avenue.']",False,S1,Days do not go on straight like an avenue.,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"The stew having cooled, one hollows one’s palm to eat it.",B
YOR0761,Yoruba,Ìbínú baba òṣì.,Anger [is the] father of hopelessness.,Anger [is the] father of hopelessness.,"['One does not carry debt around one’s neck and live like a dandy.', 'The sheep does not change its clothing from year to year.', 'A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.']",False,S1,The sheep does not change its clothing from year to year.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,Anger [is the] father of hopelessness.,One does not carry debt around one’s neck and live like a dandy.,C
YOR1731,Yoruba,"Wọ́n ní kárúgbó gba ọmọ pọ̀n, ó ní ṣe bí wọ́n mọ̀ pé òun ò léhín; wọ́n ní kó pa ọmọ jẹ ni? ","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child? ","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child? ","['The sheep does not change its clothing from year to year.', 'He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.', 'One inherits from one’s front, and one sets an example at one’s back.']",False,S1,The sheep does not change its clothing from year to year.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","One inherits from one’s front, and one sets an example at one’s back.","The old woman is asked to carry a child on her back, and she says but they know she has no teeth; was she asked to eat the child?",D
YOR1250,Yoruba,Fífẹ́ la fẹ́ ẹ̀fọ́ tí à ńpè-é ní ọ̀rẹ́ ẹ̀kọ; ti ilé ogè-é tó ogè-é jẹ.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,"['The stew having cooled, one hollows one’s palm to eat it.', 'The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,"The stew having cooled, one hollows one’s palm to eat it.",The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",A
