task,strategy,lang,source_proverb,correct_text,correct_answer,Choice_A,Choice_B,Choice_C,Choice_D
b,Strategy_1,Arabic,ابن الحرام بيساويها وابن الحلال بيوقع فيها,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,A,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,Every dog has its day.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start."
b,Strategy_1,Arabic,خاطبوا الناس على قدر عقولهم.,It means that communication with people should be done according to their level of understanding and intellect.,D,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",This proverb is used to describe an innocent person who is accused of committing something wrong.,Someone is a natural.,It means that communication with people should be done according to their level of understanding and intellect.
b,Strategy_1,Arabic,الدنيا زي الغازية، ترقص لكل واحد شوية,Every dog has its day.,A,Every dog has its day.,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”","This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.","This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start."
b,Strategy_1,Arabic,ايش ياخد الريح من البلاط؟,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",D,This proverb is used to describe a person who is ungrateful and betrays others.,It is a popular proverb used to emphasize the need to save and avoid extravagance.,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”"
b,Strategy_1,Arabic,تجيك التهايم وإنت نايم,This proverb is used to describe an innocent person who is accused of committing something wrong.,D,The proverb means that a true friend is the one who supports you when you face difficulties and problems in life.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”",This proverb is used to describe an innocent person who is accused of committing something wrong.
b,Strategy_1,Arabic,بليلة المباشر ولا ضبيحة (طبيخة) المكاشر,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",D,Someone is a natural.,It means that communication with people should be done according to their level of understanding and intellect.,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me."""
b,Strategy_1,Arabic,بین المطرقة والسندان.,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",A,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",It is a popular proverb used to emphasize the need to save and avoid extravagance.,You’re trying to change something that you can’t.,The proverb refers to people who succeed through the efforts of others.
b,Strategy_1,Arabic,الوقاية خير من العلاج/ درهم وقاية خير من قنطار علاج ,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,C,Someone is a natural.,It is used to describe the disappearance of reservations and the absence of barriers between people.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,It is an example of a person who is not satisfied with what God has destinied for him and is forced to accept less in the end.
b,Strategy_1,Arabic, انكشحت بين امعاه لحشيشَ.,It is used to describe the disappearance of reservations and the absence of barriers between people.,D,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",It means that communication with people should be done according to their level of understanding and intellect.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",It is used to describe the disappearance of reservations and the absence of barriers between people.
b,Strategy_1,Arabic,اللي ما يعرف الغلط ما يتعلم,Mistakes are the best teachers — learn from errors.,C,The proverb urges not to look back and regret what has passed.,"It means that a person or situation is in difficult circumstances and is confused about two difficult choices, where there is no easy way out. It refers to having to deal with pressure or challenges from two different or opposing sides.",Mistakes are the best teachers — learn from errors.,"It is said about a person who no one covets because he does not own anything or has no value. This proverb is used in response to someone who says, “Beware, there are those who covet him.”"
b,Strategy_1,Arabic,اللي يخالط المسعدين يسعد.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",A,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",Prohibition may increase people's desire to obtain or experience the forbidden thing.,One of the popular proverbs that expresses the rejection of ingratitude. It means that there are those who do a lot of good and in return they only receive ingratitude.,"This proverb is used to describe a person who returns to their family after a long absence in search of benefit, but instead of bringing something positive, they bring something harmful or detrimental. "
b,Strategy_1,Arabic,يجي الخريف.. واللواري بتقيف,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",C,"This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",This proverb is used to describe a person who is ungrateful and betrays others.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",Mistakes are the best teachers — learn from errors.
