sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info,semantic_max_sim
MID0024,Arabic,إنّ الطيور على أشكالها تقع,تستخدم المثل لوصف تشابه الناس في الأفكار أو السلوكيات أو التوافق بينهم,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","[""تستخدم المثل لتوضيح أن الطيور تقع وفقًا لشكلها فقط"", ""يُقصد بالمثل أن الاختلاف بين الأشخاص يُعزز العلاقات الاجتماعية"", ""يُستخدم المثل لوصف ارتفاع الطيور في الجو بشكل متشابه""]",False,S2,يُقصد بالمثل أن الاختلاف بين الأشخاص يُعزز العلاقات الاجتماعية,يُستخدم المثل لوصف ارتفاع الطيور في الجو بشكل متشابه,تستخدم المثل لوصف تشابه الناس في الأفكار أو السلوكيات أو التوافق بينهم,تستخدم المثل لتوضيح أن الطيور تقع وفقًا لشكلها فقط,C,1,generated,0.5802
MID0441,Arabic,شو بتعمل الماشطه بهالوش العكر.,المرأة التي تبدو قبيحة، ولا تُحسّن مظهرها لا يُعِدّها شيء.,This proverb is used to describe an ugly woman who is not helped by beautification.,"[""المرأة التي تستخدم أدوات تجميل خاطئة تصبح أقبح."", ""المرأة الجميلة تتأثر سلبًا بمن حولها."", ""المرأة التي تهتم بمظهرها تُهمل مهاراتها الأخرى.""]",False,S2,المرأة التي تهتم بمظهرها تُهمل مهاراتها الأخرى.,المرأة التي تستخدم أدوات تجميل خاطئة تصبح أقبح.,المرأة التي تبدو قبيحة، ولا تُحسّن مظهرها لا يُعِدّها شيء.,المرأة الجميلة تتأثر سلبًا بمن حولها.,C,1,generated,0.5036
MID0412,Arabic,لي خاف سلم. ,لا تتورط في المواقف الخطرة لتبقي آمنًا,That means don't involved in dangerous situations to stay safe.,"[""الخوف يجلب السلم والسلام"", ""يجب أن تخوض المخاطر للوصول إلى النجاح"", ""لا تتجنب الخطر لأنه يضمن الأمان""]",False,S2,يجب أن تخوض المخاطر للوصول إلى النجاح,لا تتجنب الخطر لأنه يضمن الأمان,الخوف يجلب السلم والسلام,لا تتورط في المواقف الخطرة لتبقي آمنًا,D,1,generated,0.814
MID0219,Arabic,البحر فيه لاغش,يعني أن هناك حركة غير عادية في البحر تشير إلى وقوع كارثة مدمرة قريبًا,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,"[""يعني أن البحر دائمًا هادئ ولن يسبب أي ضرر"", ""يعني أن الحركة غير العادية في البحر تدل على الأمان والهدوء"", ""يُستخدم للإشارة إلى صفاء المياه وعدم وجود موجات""]",False,S2,يعني أن هناك حركة غير عادية في البحر تشير إلى وقوع كارثة مدمرة قريبًا,يعني أن الحركة غير العادية في البحر تدل على الأمان والهدوء,يعني أن البحر دائمًا هادئ ولن يسبب أي ضرر,يُستخدم للإشارة إلى صفاء المياه وعدم وجود موجات,A,1,generated,0.6267
MID0523,Arabic,قرصه في ناره وعينه على جاره.,يصف الشخص الجشع الذي لا يرضى بحاله ويغ慕 ما عند الجار,"This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.","[""يدل على الشخص الذي يتحمل الآلام من أجل مصلحة الآخرين"", ""هو تعبير عن الشخص الذي يهتم بجاره أكثر من نفسه"", ""يُشير إلى الشخص الذي يتعامل مع مشاكله بحكمة وصبر""]",False,S2,يصف الشخص الجشع الذي لا يرضى بحاله ويغ慕 ما عند الجار,يدل على الشخص الذي يتحمل الآلام من أجل مصلحة الآخرين,هو تعبير عن الشخص الذي يهتم بجاره أكثر من نفسه,يُشير إلى الشخص الذي يتعامل مع مشاكله بحكمة وصبر,A,1,generated,0.6084
MID0614,Arabic,القُفه ام اضنين بشيلوها نفرين.,يُشير إلى التعاون والتكافل والرحمة بين الناس,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.","[""يدل على أن حمل القفَّة مسؤولية شخص واحد"", ""يُعنى بضرورة المنافسة بين الأفراد لتحقيق الأهداف"", ""يُشير إلى أن العمل الجماعي يُبطئ إنجاز المهام""]",False,S2,يدل على أن حمل القفَّة مسؤولية شخص واحد,يُشير إلى أن العمل الجماعي يُبطئ إنجاز المهام,يُعنى بضرورة المنافسة بين الأفراد لتحقيق الأهداف,يُشير إلى التعاون والتكافل والرحمة بين الناس,D,1,generated,0.4253
MID0159,Arabic,كلّه عند العرب صابون,الذين لا يملكون الذوق لا يستطيعون تمييز جودة الأشياء المختلفة,People without taste can’t discern the quality of different things.,"[""كل شيء عند العرب يُنظَر إليه على أنه متشابه"", ""الذين يمتلكون الذوق يستطيعون فقط تمييز الأشياء الرديئة"", ""يُستخدم هذا المثل للإشارة إلى أن العرب لا يقدرون الأشياء الجميلة""]",False,S2,الذين يمتلكون الذوق يستطيعون فقط تمييز الأشياء الرديئة,كل شيء عند العرب يُنظَر إليه على أنه متشابه,الذين لا يملكون الذوق لا يستطيعون تمييز جودة الأشياء المختلفة,يُستخدم هذا المثل للإشارة إلى أن العرب لا يقدرون الأشياء الجميلة,C,2,generated,0.6669
MID0755,Arabic,إنفخ يا شريم قال ماكو برطم ,يُستخدم هذا المثل لوصف الشخص الذي لا يفهم ما تقوله له بغض النظر عن مدى توضيحك أو شرحك له,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning.","[""يُستخدم هذا المثل لوصف الشخص الذي يرفض الاستماع لك لأنه يرى نفسه أعلى منك"", ""يُستخدم هذا المثل لوصف الشخص الذي يفهم الأمور بسرعة ويحتاج إلى شرح قليل"", ""يُستخدم هذا المثل لوصف المواقف التي تتحول فيها الأمور إلى فوضى بسبب سوء الفهم بين الأطراف""]",False,S2,يُستخدم هذا المثل لوصف المواقف التي تتحول فيها الأمور إلى فوضى بسبب سوء الفهم بين الأطراف,يُستخدم هذا المثل لوصف الشخص الذي لا يفهم ما تقوله له بغض النظر عن مدى توضيحك أو شرحك له,يُستخدم هذا المثل لوصف الشخص الذي يفهم الأمور بسرعة ويحتاج إلى شرح قليل,يُستخدم هذا المثل لوصف الشخص الذي يرفض الاستماع لك لأنه يرى نفسه أعلى منك,B,1,generated,0.7039
MID0605,Arabic,التسوي كريت تلقى في جلدها.,يُشير المثل إلى الشخص الذي يفعل شيئًا معينًا فتُصيبه العواقب السلبية لذلك الفعل، حتى لو مرَّ وقت على فعله.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.","[""يُشير المثل إلى أن الجلد الذي يُصنع من الضحية يحمي صاحبه من المشاكل."", ""يُشير المثل إلى أن فعل الخير يؤدي دائمًا إلى الخير، حتى لو بدا الأمر صعبًا في البداية."", ""يُشير المثل إلى أن الحيوانات يمكن أن تحمي الإنسان من المخاطر إذا عُاملها بحكمة.""]",False,S2,يُشير المثل إلى الشخص الذي يفعل شيئًا معينًا فتُصيبه العواقب السلبية لذلك الفعل، حتى لو مرَّ وقت على فعله.,يُشير المثل إلى أن الجلد الذي يُصنع من الضحية يحمي صاحبه من المشاكل.,يُشير المثل إلى أن فعل الخير يؤدي دائمًا إلى الخير، حتى لو بدا الأمر صعبًا في البداية.,يُشير المثل إلى أن الحيوانات يمكن أن تحمي الإنسان من المخاطر إذا عُاملها بحكمة.,A,1,generated,0.5395
MID0023,Arabic,أحضر الناس جوابا من لم يغضب,الجواب الأفضل يأتي من الشخص الهادئ,The best answer will come from the person who is not angry.,"[""من لا يغضب لن يجد جواباً"", ""الشخص الغاضب يعطي أفضل إجابة"", ""الصمت أفضل من الغضب في النقاش""]",False,S2,من لا يغضب لن يجد جواباً,الشخص الغاضب يعطي أفضل إجابة,الجواب الأفضل يأتي من الشخص الهادئ,الصمت أفضل من الغضب في النقاش,C,1,generated,0.5226
MID0744,Arabic,كل من كان عالي وطى كل من كان سارح بالشياه هطى,كل من كان فخوراً أصبح قاسياً، وكل من كان مترفاً هاجر إلى المدينة,"Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.","[""كل من كان عالياً في المنزل هبط، وكل من كان يرعى الغنم هاجر"", ""الذوو الأرستقراطيون يبقون أثرياء، والرعاة يصبحون فلاحيين"", ""كل من كان غنياً تصدق، وكل من كان فقيراً هاجر إلى الريف""]",True,S2,الذوو الأرستقراطيون يبقون أثرياء، والرعاة يصبحون فلاحيين,كل من كان عالياً في المنزل هبط، وكل من كان يرعى الغنم هاجر,كل من كان غنياً تصدق، وكل من كان فقيراً هاجر إلى الريف,كل من كان فخوراً أصبح قاسياً، وكل من كان مترفاً هاجر إلى المدينة,D,5,hard-fallback,0.6038
YOR1674,Yoruba,"Ó ńṣe apá kúlú-kúlú bí ẹni ká gbé e jó, ó sì ńṣẹnu hàmù-hàmù bí èyí tí yó gbèéni mì.",Kòsí àwọn arákùnrin tí wó sì ní ẹ̀rò ìtàn ò sì ní ẹ̀rò ìwàlẹ̀wọ̀n,Said of a person who mixes friendly gestures with threatening ones.,"[""Àwọn tí wón ní ẹ̀rò ìtàn ní gbàdúró wàlẹ̀wọ̀n"", ""Àwọn tí wón sì ní ẹ̀rò ìwàlẹ̀wọ̀n àmọ̀ rẹ̀ ò sì ní ẹ̀rò ìtàn"", ""Àwọn tí wón ń wíwélódé ìwàlẹ̀wọ̀n nípò ìtàn rẹ̀""]",False,S2,Àwọn tí wón ní ẹ̀rò ìtàn ní gbàdúró wàlẹ̀wọ̀n,Àwọn tí wón sì ní ẹ̀rò ìwàlẹ̀wọ̀n àmọ̀ rẹ̀ ò sì ní ẹ̀rò ìtàn,Kòsí àwọn arákùnrin tí wó sì ní ẹ̀rò ìtàn ò sì ní ẹ̀rò ìwàlẹ̀wọ̀n,Àwọn tí wón ń wíwélódé ìwàlẹ̀wọ̀n nípò ìtàn rẹ̀,C,3,generated,0.8802
YOR0494,Yoruba,Pẹ̀lẹ́-pẹ̀lẹ́ nijó àgbà; ara gbogbo ló di àkísà tán.,Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sòrìnú sí ìṣàríwọ̀n,Elderly people should not overexert themselves.,"[""Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sì ńlẹ̀wọ̀n sí ìwò"", ""Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ ní kàwọn ẹlẹ́sìn ńlẹ̀wọ̀n sí ìṣàríwọ̀n"", ""Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sòrìnú sí ìṣẹ̀ ẹ̀tọ́nì""]",False,S2,Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sòrìnú sí ìṣẹ̀ ẹ̀tọ́nì,Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sòrìnú sí ìṣàríwọ̀n,Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ ní kàwọn ẹlẹ́sìn ńlẹ̀wọ̀n sí ìṣàríwọ̀n,Ẹ̀wọ́ ọlọ́ṣọ̀ Ọlọ́ṣọ̀ kò sì ńlẹ̀wọ̀n sí ìwò,B,2,generated,0.9718
YOR1696,Yoruba,Olóòótọ́ ìlú nìkà ìlú.,Ẹ̀ṣẹ̀rẹ̀ sí ìṣòòrò ní gbogbo ìṣòòrò,Honesty seldom makes one popular.,"[""Ẹ̀ṣẹ̀rẹ̀ sí àwọn ìlú ní ìlú"", ""Ọ̀rẹ̀ ìṣòòrò kọ̀ọ̀kọ̀ rí ní ìṣòòrò"", ""Ẹ̀ṣẹ̀rẹ̀ sí ìwà àwọn ọlọ́ta ní ìwà àwọn ọlọ́ta""]",False,S2,Ẹ̀ṣẹ̀rẹ̀ sí ìṣòòrò ní gbogbo ìṣòòrò,Ọ̀rẹ̀ ìṣòòrò kọ̀ọ̀kọ̀ rí ní ìṣòòrò,Ẹ̀ṣẹ̀rẹ̀ sí àwọn ìlú ní ìlú,Ẹ̀ṣẹ̀rẹ̀ sí ìwà àwọn ọlọ́ta ní ìwà àwọn ọlọ́ta,A,1,generated,0.9056
YOR0519,Yoruba,A kì í duni lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni.,"Ẹ̀wọ́ ní láti rí ìwà rẹ̀ nípa ìyàgbé àti àkínfúnyìn, kò kún nípa ọ̀kan","A person should be treated either as an adversary or as an ally, not as both.","[""Ẹ̀wọ́ ní láti rí ìwà rẹ̀ nípa ìlẹ̀ àti àwáranti, kò kún nípa ọ̀kan"", ""Ẹ̀wọ́ ní láti kíkọ̀rọ̀ ìwà rẹ̀ nípa ìlẹ̀ àti àwáranti, kí ìlẹ̀ kíkàn"", ""Ẹ̀wọ́ ní láti kíkọ̀rọ̀ ìwà rẹ̀ nípa ìlẹ̀ kíkàn, kò kún nípa ọ̀kan""]",False,S2,"Ẹ̀wọ́ ní láti rí ìwà rẹ̀ nípa ìlẹ̀ àti àwáranti, kò kún nípa ọ̀kan","Ẹ̀wọ́ ní láti rí ìwà rẹ̀ nípa ìyàgbé àti àkínfúnyìn, kò kún nípa ọ̀kan","Ẹ̀wọ́ ní láti kíkọ̀rọ̀ ìwà rẹ̀ nípa ìlẹ̀ àti àwáranti, kí ìlẹ̀ kíkàn","Ẹ̀wọ́ ní láti kíkọ̀rọ̀ ìwà rẹ̀ nípa ìlẹ̀ kíkàn, kò kún nípa ọ̀kan",B,3,generated,0.9807
YOR2026,Yoruba,Ọbẹ̀ lọmú àgbà.,"Ẹni ile ya lè ní iranlọwe, ẹyẹ agbọn kíkún kílẹ̀wá","Adults have their own nourishment, even if it differs from children’s.","[""Ọbẹ̀ lè kún ìdànkùnrin sí ẹyẹ"", ""Ẹyẹ kílẹ̀wá lè ní iranlọwe sí ọbẹ̀"", ""Ọbẹ̀ lè ní iranlọwe sí ẹyẹ kílẹ̀wá ní gbogbo nípa ẹwọn ìpàdé""]",False,S2,Ọbẹ̀ lè kún ìdànkùnrin sí ẹyẹ,"Ẹni ile ya lè ní iranlọwe, ẹyẹ agbọn kíkún kílẹ̀wá",Ẹyẹ kílẹ̀wá lè ní iranlọwe sí ọbẹ̀,Ọbẹ̀ lè ní iranlọwe sí ẹyẹ kílẹ̀wá ní gbogbo nípa ẹwọn ìpàdé,B,2,generated,0.9197
YOR0382,Yoruba,Kó-tán-kó-tán lajá ńlá omi.,Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìyìnṣìn,Said of people who attack good things with excessive greed.,"[""Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ẹ̀ṣìn"", ""Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìṣẹ́ tí wọn bẹ̀rẹ̀ lẹ́wọ̀n"", ""Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìṣẹ́ tí wọ́n lè ní ẹ̀kọ́n""]",False,S2,Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìyìnṣìn,Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ẹ̀ṣìn,Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìṣẹ́ tí wọn bẹ̀rẹ̀ lẹ́wọ̀n,Wàpada sí léé ní ìyàṣẹ́ látinú àwọn ìṣẹ́ tí wọ́n lè ní ẹ̀kọ́n,A,1,generated,0.9846
YOR0951,Yoruba,"Oore tí Agbé ṣe lọ́fà, ó dagbe",Ẹ̀wẹ̀ ní láti rí ẹ̀yà Agbé àti pèsè tó yí ẹ̀wẹ̀ lẹ́wọ̀n,One should learn from Agbe’s example and be prudent in doing favors.,"[""Agbé ní ẹ̀wẹ̀ lẹ́wọ̀n, kí ó tó ní ẹ̀wẹ̀ kíkún"", ""Ẹ̀wẹ̀ ní láti bẹ̀rẹ̀ ẹ̀wẹ̀ lẹ́wọ̀n, kí ó tó lè bẹ̀rẹ̀ ẹ̀wẹ̀ kíkún"", ""Ẹ̀wẹ̀ ní láti ń ẹ̀wẹ̀ sí ìwà Agbé, kí ó tó lè ń ẹ̀wẹ̀ sí ìwà arákùnrin""]",False,S2,"Ẹ̀wẹ̀ ní láti ń ẹ̀wẹ̀ sí ìwà Agbé, kí ó tó lè ń ẹ̀wẹ̀ sí ìwà arákùnrin","Agbé ní ẹ̀wẹ̀ lẹ́wọ̀n, kí ó tó ní ẹ̀wẹ̀ kíkún",Ẹ̀wẹ̀ ní láti rí ẹ̀yà Agbé àti pèsè tó yí ẹ̀wẹ̀ lẹ́wọ̀n,"Ẹ̀wẹ̀ ní láti bẹ̀rẹ̀ ẹ̀wẹ̀ lẹ́wọ̀n, kí ó tó lè bẹ̀rẹ̀ ẹ̀wẹ̀ kíkún",C,4,generated,0.7999
YOR3639,Yoruba,"Àkẹ̀hìnsí onígbé, bí ẹni tí ńkébòsí.",Kìí sì yìí ṣe kírí lágbáran sí wọn tí kírí sí wọn wípé ìyípo,Seeing something from a disadvantageous perspective is likely to mislead.,"[""Ìyìn àwọn arákùnrà sí wọn tí wọ́n kírí sí wọn wípé ìyípo"", ""Kírí lágbáran sí wọn tí wọ́n kírí lágbáràn sí wọn wípé ìyípo"", ""Kìí sì yìí ṣe kírí lágbáràn sí arákùnrà lóko ní ìyípo""]",False,S2,Kìí sì yìí ṣe kírí lágbáran sí wọn tí kírí sí wọn wípé ìyípo,Kírí lágbáran sí wọn tí wọ́n kírí lágbáràn sí wọn wípé ìyípo,Kìí sì yìí ṣe kírí lágbáràn sí arákùnrà lóko ní ìyípo,Ìyìn àwọn arákùnrà sí wọn tí wọ́n kírí sí wọn wípé ìyípo,A,2,generated,0.9529
YOR2260,Yoruba,"Igbó etílé òun ẹ̀gbin, àdàpọ̀ òwò òun ìyà; yàrá à-jùmọ̀ -gbé ìtalẹ̀ ni nínú.",Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ nípa àwọn ìlàná wàlẹ̀ àti àkàkàkò,All relationships entail irri tants and require some capacity for accom modation.,"[""Ìgbéwò ní ìwòpọ̀ nípa àwọn ìlàná wàlẹ̀ rí ìgbéwò rẹ̀ lọ"", ""Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ láti wà ní ìlàná wàlẹ̀ àti ìlàná tó ń gbé"", ""Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ nípa ìlàná wàlẹ̀ ní ìtàn ìṣòò""]",False,S2,Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ láti wà ní ìlàná wàlẹ̀ àti ìlàná tó ń gbé,Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ nípa àwọn ìlàná wàlẹ̀ àti àkàkàkò,Ìwòpọ̀ ní ní ìṣẹ̀sẹ̀ nípa ìlàná wàlẹ̀ ní ìtàn ìṣòò,Ìgbéwò ní ìwòpọ̀ nípa àwọn ìlàná wàlẹ̀ rí ìgbéwò rẹ̀ lọ,B,1,generated,0.9393
YOR1287,Yoruba,Ìpẹ̀ta lọṣẹ àpọ́n.,"Ẹni o kere lẹhin ti o kere si ìwò nípa ìyìn ìyẹn, o ní láti rí ẹ̀kọ̀ tó yìí látinú sílẹ̀",A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,"[""Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o wà ní àwọn ìṣẹ̀ tó kere si lókàn"", ""Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o kere si ìyìn ìyẹn, kí o kere si ẹ̀kọ̀ tó yìí látinú sílẹ̀"", ""Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o ní ìyìn ìyẹn, kí o lè fún sí ẹ̀kọ̀ tó yìí látinú sílẹ̀""]",False,S2,"Ẹni o kere lẹhin ti o kere si ìwò nípa ìyìn ìyẹn, o ní láti rí ẹ̀kọ̀ tó yìí látinú sílẹ̀",Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o wà ní àwọn ìṣẹ̀ tó kere si lókàn,"Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o ní ìyìn ìyẹn, kí o lè fún sí ẹ̀kọ̀ tó yìí látinú sílẹ̀","Ẹni ìpẹ̀ta lọṣẹ àpọ́n jẹ́ ìyẹn tí o kere si ìyìn ìyẹn, kí o kere si ẹ̀kọ̀ tó yìí látinú sílẹ̀",A,3,generated,0.8993
YOR2985,Yoruba,"Wón ní, ""Amúkùnún, ru mà wọ́ọ̀.’’ Ó ní ‘‘Ìsàlẹ̀ ló ti w wá.’’","Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìwòsòlì, kíkò sí àwọn ìsàlẹ̀ rẹ̀","In considering a prob lem, one must look at the root causes, not only the manifestations.","[""Kò ní ìṣòro kíkò sí ìsàlẹ̀"", ""Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìsàlẹ̀, kíkò sí ìwòsòlì rẹ̀"", ""Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìwòsòlì, kíkò sí àwọn ẹ̀ṣẹ̀ rẹ̀""]",False,S2,"Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìwòsòlì, kíkò sí àwọn ẹ̀ṣẹ̀ rẹ̀","Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìsàlẹ̀, kíkò sí ìwòsòlì rẹ̀",Kò ní ìṣòro kíkò sí ìsàlẹ̀,"Ẹ̀wẹ̀ kíkọ̀wọ̀n ní ìwòsòlì, kíkò sí àwọn ìsàlẹ̀ rẹ̀",D,2,generated,0.9963
YOR3714,Yoruba,Ataepo àti araepo ló mọ ohun tí wọ́n fi ńnuwọ́,Ẹni tí wọ́n ń ṣe ẹbí àti ẹni tí wọ́n ń ṣe ìwà láti mọ̀ ẹká wọn,People who share the same trade or secrets understand one another.,"[""Ẹni tí wọ́n ń ṣe ẹbí láti mọ̀ ẹká wọn nípàwílẹ̀"", ""Ẹni tí wọ́n kò ń ṣe ẹbí àti ẹni tí wọ́n kò ń ṣe ìwà láti mọ̀ ẹká wọn"", ""Ẹni tí wọ́n ń ṣe ẹbí láti kọ̀wà àwọn ìlẹ̀ ìṣòrò wọn""]",True,S2,Ẹni tí wọ́n kò ń ṣe ẹbí àti ẹni tí wọ́n kò ń ṣe ìwà láti mọ̀ ẹká wọn,Ẹni tí wọ́n ń ṣe ẹbí láti kọ̀wà àwọn ìlẹ̀ ìṣòrò wọn,Ẹni tí wọ́n ń ṣe ẹbí àti ẹni tí wọ́n ń ṣe ìwà láti mọ̀ ẹká wọn,Ẹni tí wọ́n ń ṣe ẹbí láti mọ̀ ẹká wọn nípàwílẹ̀,C,5,hard-fallback,0.9783
YOR1539,Yoruba,"A kì í ṣe ẹlẹ́jọ́ ní ""Ngbọ́""?",Kò kúrò sí àwọn ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn ò kílèlè àṣẹ,Do not expect impartial witnessing from an interested party.,"[""Kò kúrò láti rí àwọn ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn ò kílèlè àṣẹ"", ""Ì bára wá ní ìṣẹ̀ àwọn ò kílèlè àṣẹ"", ""Kò kúrò láti jẹ́ ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn kílèlè àṣẹ""]",False,S2,Kò kúrò láti rí àwọn ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn ò kílèlè àṣẹ,Kò kúrò láti jẹ́ ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn kílèlè àṣẹ,Ì bára wá ní ìṣẹ̀ àwọn ò kílèlè àṣẹ,Kò kúrò sí àwọn ìwàlẹ̀lẹ̀ ní ìṣẹ̀ àwọn ò kílèlè àṣẹ,D,3,generated,0.8979
YOR1170,Yoruba,‘‘Bí mo lè kú ma kú’’ lọmọkùrín fi ńlágbára; ‘‘Ng ò lè wáá kú’’ lọmọkùnrín fi ńlẹ.‘‘,"Ẹ̀rí ìyààtí ní ìyàgbára, ẹ̀rí ìyààtí ní ìyàgbára; Ẹ̀rí ìyààtí ní ìyàgbára, ẹ̀rí ìyààtí ní ìyàgbára.",Daring makes the man; caution unmakes the man.,"[""Kì í kú kí ní ìwára, kí ìwára kí ní ìwára."", ""Ìyàgbára lè kú kí ní ìwára, ìyàgbára kí ní ìwára."", ""Ìyàgbára lè kú kí ní ìwára, ìyàgbára kí ní ìwára ní àwọn ìlú rẹ.""]",False,S2,"Ìyàgbára lè kú kí ní ìwára, ìyàgbára kí ní ìwára.","Kì í kú kí ní ìwára, kí ìwára kí ní ìwára.","Ìyàgbára lè kú kí ní ìwára, ìyàgbára kí ní ìwára ní àwọn ìlú rẹ.","Ẹ̀rí ìyààtí ní ìyàgbára, ẹ̀rí ìyààtí ní ìyàgbára; Ẹ̀rí ìyààtí ní ìyàgbára, ẹ̀rí ìyààtí ní ìyàgbára.",D,2,generated,0.856
YOR3947,Yoruba,"Ìgbẹ́kẹ̀lé èèyàn, asán ni.",Àwọn ìyààn lóko jẹ́ kí ìtọ́nú rẹ̀,One should be wary about trusting people.,"[""Ìgbẹ́kẹ̀lé èèyàn ló sì méjì àwọn ìlú"", ""Àwọn ìyààn lóko jẹ́ kí wọ́n lèsìn"", ""Ìgbẹ́kẹ̀lé èèyàn ló sì wà ní ìlú rẹ̀""]",False,S2,Ìgbẹ́kẹ̀lé èèyàn ló sì wà ní ìlú rẹ̀,Àwọn ìyààn lóko jẹ́ kí wọ́n lèsìn,Àwọn ìyààn lóko jẹ́ kí ìtọ́nú rẹ̀,Ìgbẹ́kẹ̀lé èèyàn ló sì méjì àwọn ìlú,C,1,generated,0.8859
YOR2230,Yoruba,Aṣiwèrè èèyàn ní ńkọṣẹ́ àbọ̀ ọjà.,Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó kò ní ìròlùwọ̀n,One should not refuse to do a favor that entails no hardship or inconvenience.,"[""Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó ní ìròlùwọ̀n"", ""Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó kò ní ìfésìn"", ""Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó ní ìfésìn""]",True,S2,Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó ní ìròlùwọ̀n,Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó ní ìfésìn,Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó kò ní ìfésìn,Ẹ̀mí kò láì ní kí ńkọ̀wò ìfẹ̀ní tó kò ní ìròlùwọ̀n,D,5,hard-fallback,0.9974
