Sample_ID,Source_Text_Yo,Target_Text_En,Cultural_Context,Provenance,QA_Flag,Comments
YOR0348,Ìwà ní ńjọ oníwà lójú.,Character is always remarkable (or good) in the opinion of its owner.,One naturally approves of one’s own character.,part1.docx,,
YOR0349,Ìwọ̀fà ní ḿmú ìwọ̀fà jó.,A pawned person always dances with a pawned person.,People should know who share their station and confine their dealings to them.,part1.docx,,"""ọ̀"" was missing twice in the yoruba context"
YOR0350,Ìwọ̀n eku nìwọ̀ ìtẹ́; olongo kì í gbé tímú tímú.,The measure of the rat is the measure of the nest; a robin does not live on a cushion.,One should cut one’s garment according to one’s size.,part1.docx,,
YOR0351,Ìwọ̀sí ní ḿba ilé àgbà jẹ́.,Trading insults brings ruin to an elder’s home.,An elder who fails to maintain harmony among the members of his household will see it destroyed.,part1.docx,,
YOR0352,"Ìyàwó tó na ọmọ ọbàkan, ọ̀rọ̀ ló fẹ́ẹ́ gbọ́.",The wife who whips a relative of her husband is asking for stern rebuke.,One should not engage in inappropriate actions.,part1.docx,,target text was incomplete and cultural context was totally absent
YOR0353,Jẹ́jẹ́ léégún àgbà ńjó.,Sedately is the way an elderly masquerader dances.,Grown-up people should behave in a decorous manner.,part1.docx,,
YOR0354,"Jòkùmọ̀-ọ́ ṣe bí ẹ̀lú, aró la bè̟ ló̟wè̟.","The jòkùmọ̀ plant looks like the indigo plant; it is the indigo dye, though, we have use for.",One should know and employ the appropriate materials for one’s tasks.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing twice in the yoruba proverb"
YOR0355,Ká ríni lóde ò dàbí-i ká báni délé.,To see a person in the streets is not the same as going home with the person.,"To really know a person, one must see the person where he or she lives.",part1.docx,,
YOR0356,Ká ríni sò̟rò̟ fúnni ò dàbí-i ká sò̟rò̟ fúnni ká gbà.,Having people to advise one is nothing like knowing how to take advice.,Nobody can help anyone who will not help himself or herself.,part1.docx,,
YOR0357,Ká wí fún ẹni ká gbọ́; ká sò̟rò̟ fúnni ká gbà; ká bèèrè ọnà ló̟wó̟ èrò tó kù lẹ́hìn káyé baà lè yẹni.,"If one is spoken to, one should listen; if one is advised, one should heed the advice; one should seek direction from straggling wayfarers in order that one’s life might be pleasant.","It is wise to heed advice, and it is wise to seek direction from those who have greater experience.",part1.docx,,cut off in the yoruba text and cultural context
YOR0358,"Ká wí fúnni ká gbó̟; ká sò̟rò̟ fúnni ká gbà; à-wí-ìgbó̟, à-gbọ́-ìgbà ní ńfi igbá àdánù bu omi mu.","If one is spoken to, one should listen; if one is advised, one should accept the advice; refusal to listen to speech and refusal to accept advice leads to using the calabash of deprivation as a drinking cup.",Refusal to heed advice leads to deprivation.,part1.docx,,"total jargon, had to be rewritten"
YOR0360,Ká wí ká gbà ló yẹ ọmọ èèyàn.,To heed advice is what best becomes a human being.,One should heed advice. ,part1.docx,,remove trailing texts
YOR0361,"Ká wí ogún, ká wí ọgbọ̀n, N ò fẹ́, n ò gbà laṣiwèré fi ńpẹ̀kun ọ̀ràn.","Whether one speaks twenty times or speaks thirty times, ‘‘I do not like it, and I will not accept it’’ is how the imbecile ends the discussion.",The incorrigible person will never listen to reason.,part1.docx,,"""ọ̀"" & ""ẹ́"" were missing multiple times"
YOR0362,"Kàkà ká dọ̀bálè̟ fún Gà bàrí, ká ró̟jú ká kú.","Rather than prostrate oneself in homage or obeisance to a Hausa person, one should rather die.",An expression of Yoruba superciliousness toward the Hausa.,part1.docx,,
YOR0363,"Kàkà kí àgbò ké, àgbò a kú.","Rather than cry out, the ram will die.",A grown man must know how to hide his pain.,part1.docx,,
YOR0364,"Kàkà kí bàbá ran ọmọ ní àdá bọ oko, oníkálukú a gbé tiè̟","Rather than the father carrying the son’s cutlass home from the farm, each will carry his own.","People may withhold their respect from one, but one should not abet their insolence",part1.docx,,cutoff in the cultural context
YOR0365,"Kàkà kí iga akàn ó padà sẹhìn, a kán.","Rather than bend backward, the crab’s claws will break.",Death is to be preferred to re treat.,part1.docx,,
YOR0366,"Kàkà kí kìnìún ṣe akápò ẹkùn, ọlọ́dẹ a mú ọdẹ ṣe.","Rather than the lion serving as carrier for the leopard, each will hunt separately.",One would rather leave a company than remain in it and be subordinate to those one con siders inferior.,part1.docx,,"remove trailing text from cultural context, ""ọ́"" was omitted from yoruba proverb"
YOR0367,Kékeré lọ̀pọ̀lọ́ fi ga ju ilẹ̀ lọ.,The toad is only slightly taller than the earth.,Said of people who behave as though they are superior to others though have little reason to believe so.,part1.docx,,"""ọ́"" was omitted thrice and ""ẹ̀"" as well"
YOR0368,Kì í dọwọ́-ọ baba kó ló di ọwọ́ ọmọ.,Responsibility does not devolve on the father only for him to say it is his son’s duty.,An elder must do his or her duty and not shove it on the youth.,part1.docx,,"""ọ́"" was omitted twice"
YOR0370,Kí ni apárí ńwá ní ìṣọ̀ onígbàjámọ̀?,What does a bald man want in the stall of the barber?,One should stay out of places where one has no business.,part1.docx,,"""ọ́"" was omitted twice. trailing text was removed from cultural context"
YOR0371,Kí ni Dáàró ní kó tó sọ pé olè-é kó òun?,What did Dáàró own before he claimed he was robbed?,Said of a person who could do nothing in the best of circumstances but blames his or her lack of success on certain eventualities.,part1.docx,,Gross mismatch in the whole column
YOR0372,Kí ni ìbá mú igún dé ọ̀dọ̀-ọ onídìrí?,What would take the vulture to the stall of the hairdresser?,One should stay away from places where one has no business. ,part1.docx,,"""ọ́"" was omitted twice. trailing text was removed from cultural context"
YOR0373,Kí ni ó yá àpọ́n lórí tó fiṣu síná tó ńsúfèé pé ‘‘bí a ti ńṣe ni inú ḿbí wọn’’?,"What has the bachelor to feel so superior about that while he is roasting yams, he is whistling the song, ‘‘What one does fills them with jealousy’’?",Said of people who are arrogant even though they have no basis for pride.,part1.docx,,"""ọ́"" was omitted once"
YOR0374,Kí ni onígbá ńṣe tí aláwo ò lè ṣe?, What is the calabash owner doing that the china plate owner cannot do? ,"Whatever one can accomplish, those better placed or better endowed can accomplish also.",part1.docx,,cutoff from the target_text till cultural context
YOR0376,Kí ni orí ńṣe tí èjìká ò lè ṣe? Èjìká ru ẹrù ó gba ọ̀ódúnrún; orí ta tiẹ̀ ní ogúnlúgba.,What can the head do that the shoulder cannot do? The shoulder carried a load and earned 300 cowries; the head sold its own for 220 cowries.,One should not be foolish enough to think that the person who has more power and standing than oneself cannot accomplish what one has accom plished.,part1.docx,,"""ọ́"" was omitted thrice and ""ẹ̀"" as well"
YOR0377,Kíjìpá laṣọ ọ̀lẹ; òfì laṣọ àgbà; àgbà tí ò ní tòfì a rọ́jú ra kíjìpá.,Durable hand-woven cloth is the material for shiftless people; loom-woven cloth is the material for the elders; whichever elder can not afford loom-woven cloth should strive for durable hand-woven cloth.,"If one can not have the perfect thing, one should strive to have at least something.",part1.docx,,"""ọ́"" was omitted twice"
YOR0378,"Kò rà, kò lówó lọ́wọ́, ó ńwú tutu níwájú onítumpulu.","He does not buy, he has no money, yet he sits sulkily before the seller of bean fritters.",Said of people reluctant to accept the fact that they cannot have what they wish.,part1.docx,,
YOR0379,Kò sí ẹni tó dùn mọ́ àfi orí ẹni.,There is no one pleased [by one’s success] except one’s own head.,Few people genuinely wish that one should succeed.,part1.docx,,"""ọ́"" was omitted once"
YOR0380,Kò sí mi lájọ àjọ ò kún: ara ló tàn jẹ.,Without-me-in-an-assembly-the-assembly is-not-complete deceives only himself or herself.,Whoever thinks he or she is indispensable is self-deceived.,part1.docx,,
YOR0381,Kò-sí-nílé kì í jagun ẹnu tì.,He-was-not-at-home never fails to prove his valor with his mouth.,"Said of a person who vows that had he been around when some thing happened, he would have performed wonders.",part1.docx,,
YOR0382,Kó-tán-kó-tán lajá ńlá omi.,Swiftly-consumed-swiftly-consumed is the way a dog laps up water. ,Said of people who attack good things with excessive greed.,part1.docx,,
YOR0383,"Labalábá fi ara ẹ̀ wẹ́yẹ, kò lè ṣe ìṣe ẹyẹ.","The butterfly likens itself to a bird, but it cannot do what a bird can do.",Attempts to emulate those better endowed and qualified than oneself always prove futile. Compare the following entry.,part1.docx,,"""ẹ̀"" was omitted twice"
YOR0384,"Lábúlábú fara wé aró, kò lè ṣe bí aró; pòpòǹdó fara wé àgbàdo.","Ash mixed with water likens itself to indigo dye, but it cannot do what the dye can do; the large red bean likens itself to corn.",One should know better than to attempt to overreach one’s capabilities,part1.docx,,"""ǹ"" was missing in the Yoruba context. cutoff from the target_text till the cultural context"
YOR0385,Láká-ǹláká ò ṣéé fi làjà; ọmọ eégún ò ṣéé gbé ṣeré.,A limp is no great asset for a person wish ing to stop a fight; a masquerader’s child is no easy playmate.,One should know one’s limits and also what one would be ill advised to attempt.,part1.docx,,"""ǹ"" was missing in the Yoruba context. "
YOR0386,Lékèélékèé ò yé ẹyin dúdú; funfun ni wọ́n ńyé ẹyin wọn.,Cattle egrets never lay black eggs; only white eggs do they lay.,Ony certain types of be havior are suitable for people in certain positions.,part1.docx,,"""ọ́"" was missing once"
YOR0389,"Má tẹ̀ẹ́ lọ́wọ́ oníle, má tẹ̀ẹ́ lọ́wọ́ àlejò; lọ́wọ́ ara ẹni la ti ńtẹ́.","Save face with members of your household, and save face with complete strangers, such a person loses face with himself or herself.",A person too careful about his or her reputation will end up losing regard for himself or herself. Some situations call for doing away with decorum.,part1.docx,,gross misparsing of the yoruba proverb
YOR0390,Màlúù ò lè lérí níwájú ẹṣin.,A cow may not boast in the presence of a horse.,One should acknowledge and defer to those better able than oneself.,part1.docx,,
YOR0392,Mélòó lÈjìgbò tí ọ̀kan ẹ̀ ńjẹ́ Ayé-gbogbo.,How large a community is Ejigbo that one of its settlements is named Ayegbogbo [the whole world]?,One should be modest in one’s claims.,part1.docx,,
YOR0393,"Mo dàgbà mo dàgó, aré ọmọdé ò tán lójúù mi.","I have become old and wise, but childish play has not ceased to appeal to me.",There is something of the youth that lingers even in age,part1.docx,,cultural context was placed as tartget text en while cultural context itself was empty
YOR0394,Mo dàgbà tán èwé wù mí.,"Having grown old, I miss youthfulness.",One does not appreciate one’s youth until one has lost it.,part1.docx,,removed trailing text from cultural context
YOR0395,"‘‘Mo dára, mo dára,’’ àìdára ní ńpẹ̀kun ẹ̀.","‘I am beautiful, I am beautiful’’ has ugliness as its conclusion.",Whoever is infatuated with his or her attractiveness will end up being despised by all.,part1.docx,,"""ẹ̀"" was mising twice"
YOR0396,Mo mọ̀Bàrà mo mọ̀Fún” ti kì í jẹ́ kí àwòko kó ọ̀pẹ́ẹ̀rẹ́ níFá.,"‘I am versed in ọ̀bàrà and versed in ọ̀fún,’’ the boast that discourages àwòko from teaching ọ̀pẹ́ẹ̀rẹ́ Ifá verses. ",Disdain for advice or instruction leaves a person in ignorance,part1.docx,,gross mismatch in the 3 columns
YOR0397,"""Mo mọ̀-ọ́ gùn"" lẹṣin ńdà.",‘‘I am an expert horseman’’ is usually the one thrown by a horse. ,Assuming that one knows it all causes one grief.,part1.docx,,gross mismatch in the 3 columns
YOR0399,“Mo mọ̀wọ̀n ara-à mi” kì í ṣẹ̀rẹ̀kẹ́ èébú.,‘‘I am jealous of my dignity’’ does not hurl insults at others.,A person who wishes to maintain his or her dignity must not by his or her actions invite insults.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0400,"“Mo yó” ńjẹ́ “mo yó,” “mo kọ̀” ńjẹ́ “mo kọ̀”; jẹun ǹṣó, àgbà ọ̀kánjúwà ni.","‘‘I am full’’ means ‘‘I am full’’; ‘‘I decline’’ means ‘‘I decline’’; eating with abandon, that is the father of all greediness.",One should not accept every invitation to the table.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0401,‘‘Ng óò gba owó-ò mi lára ṣòkòtò yìí’’; ìdí làgbàlagbà ńṣí sílẹ̀.,‘I will get my money’s worth out of these trousers’’; the grown man only winds up exposing his bare buttocks to the world.,One should not insist on squeezing every last ounce of use out of a perishable article.,part1.docx,,
YOR0402,Nígbàtí à ńto ọkà a ò to ti ẹmọ́ si.,"When we were stacking the corn, we did not stack some for the brown rat.",People should keep their hands off other people’s property unless they have been asked to help themselves.,part1.docx,,cut off halfwAY IN TARGET TEXT EN
YOR0403,"Nígbàtí o mọ̀-ọ́ gùn, ẹṣin e-ẹ́ ṣẹ ṣé orókún?","Since you claim to be a seasoned rider, why has your horse gone lame?",An expert does not produce flawed goods.,part1.docx,,
YOR0404,Nígbàwo làpò ẹkùn-ún di ìkálá fọ́mọdé?,Since when did a tiger-hide sack become a thing a child uses to harvest okro?,People should not presume to lay claim to things or functions that are far beyond their station.,part1.docx,,
YOR0405,Ó bọ́ lọ́wọ́ oṣù ó dàràn-mọ́jú.,The moon loses its esteem and shines all night long.,A person who overstays his or her welcome ceases to be valued. ,part1.docx,,
YOR0406,"O dájú dánú, o ò mọ ẹ̀sán mẹ́sàn-án.","Your eyes flinch not and your mouth is unstoppable, but you do not know nine times nine.",Too much mouth often indicates too little substance.,part1.docx,,Many letters were and misparsed in the yoruba text. the target text en was cutoff midway
YOR0407,Ó di àwùjọ ṣòkòtò kí ládugbó tó mọ ara rẹ̀ Lábèṣè,Not until the gathering of trousers will Ládugbo know itself as a miscreant.,Some people will not learn the truth about themselves until they are openly disgraced.,part1.docx,,
YOR0408,Ó di ọjọ́ alẹ́ kábuké tó mọ̀ pé iké kì í ṣọmọ.,Not until the end of days will the humpback realize that a hump is not a child.,People seldom learn wisdom until it is too late.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0409,"Ò ńjàgbọ̀nrín èṣín lọ́bẹ̀, o ní o ti tó tán.","You are reduced to eating last year’s antelope in your stew, and yet you claim to have attained the height of good fortune.",A hard-up person who claims to be prosperous deceives himself or herself.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0410,O ru ládugbó ò ńrera; kí ni ká sọ fẹ́ni tó ru Òrìṣà-a Yemọja.,"Because you are carrying a huge pot, you strut; what would one say to the person carrying the divinity Yemoja?","Never assume to be more important than you are, espe cially when there are really more important people around.",part1.docx,,
YOR0411,"Ó tọ́ kí eégún léni lóko àgbàdo, èwo ni ti Pákọ̀kọ̀ láàrin ìlú?","It might be seemly for a masquerader tochase one off a corn farm, but it is not seemly for Pák k to chase one in the middle of town.",A person who is in no position to exercise authority over another should not presume to do so.,part1.docx,,cutoff during the target text en and the cultural context was lost as well
YOR0412,"Ó yẹ ẹni gbogbo kó dínwó aró, kò yẹ atọ̀ọ́lé.","It is fitting for everybody to bargain to re duce the cost of dyeing clothes, but not the bed wetter.",The person in desperate need of a thing cannot afford to be finicky.,part1.docx,,
YOR0413,"Ó yẹ ẹni gbogbo kó sọ pé ‘‘Ọlọ́run aṣèkan-má-kù,’’ kò yẹ akúkó.","Everyone can justifiably say, ‘‘God, who has left nothing undone,’’ but not a eunuch.",People should not act as though they are unaware of their flaws.,part1.docx,,
YOR0414,"Odò kékeré lalákàn-án ti lè fọ́ epo; bó bá di àgàdàm̀gbá tán, odò a gbé alákàn lọ.","It is only in a small stream that the crab can make its oil; when it becomes huge and swift, the river sweeps the crab away.","When times are easy, there is little one cannot attempt.",part1.docx,,
YOR0416,Ogun tí olójúméjìí rí sá ni olójúkan-án ní òún ńlọ jà.,The war that the two-eyed person saw and fled is the same the one-eyed person vows he will join.,A comment on overreaching people who attempt feats that have defeated their betters.,part1.docx,,
YOR0417,"Ohun méjì ló yẹ Ẹ̀ṣọ́: Ẹ̀ṣọ́ jà, ó lé ogun; Ẹ̀ṣọ́ jà ó kú sógun.",Only two things are proper for a warrior: the warrior goes to war and drives the enemy off; the warrior goes to war and dies in battle.,One should not act in a way that is not proper or becoming.,part1.docx,,"""Ẹ̀"" & ""ọ́"" were missing from the yoruba proverb"
YOR0418,Ohun tí à ńtà là ńjẹ; kì í ṣe ọ̀rọ̀ oníkẹrosíìnì.,What one sells is what one eats; that does not apply to the kerosene seller.,One should be mindful of the peculiarities of one’s situation.,part1.docx,,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0419,Ohun tí eèrá bá lè gbé ní ńpè ní ìgànnìkó.,Whatever the ant is able to carry is what it says is its full measure.,One should match one’s desires to what one can afford.,part1.docx,,
YOR0420,Ohun tí kò tó okòó kì í jẹ àgbà níyà.,A thing that is not worth the least amount of money should not prove a hardship for an elder.,One should not be defeated by insignificant problems.,part1.docx,,cutoff from target text en till cultural context
YOR0421,Ohun tó yẹni ló yẹni; okùn ọrùn ò yẹ adìẹ.,Whatever is becoming for a person is what is becoming; a noose is not becoming for a chicken.,One should always confine one’s actions to those that are proper and becoming.,part1.docx,PERFECT,
YOR0422,"Ohun tí wẹ̀rẹ́ fi ńṣe ara , ó pọ̀ ju ohun tó fi ńṣe ọmọ ẹlòmíràn lọ.",What the imbecile does to himself is far worse than what he does to others.,Said when a person intending to injure others in fact does himself or herself greater injury.,part1.docx,FIX,"""ẹ́"" & ""ọ̀"" were missing multiple times in the yoruba context"
YOR0423,"Ohun tó ṣeé faga là ńfaga sí; èwo ni, ‘‘Ìwòyí àná mo ti na ànaà mi fága-fàga’’? ","One boasts only about things proper to boast about; whoever heard of the boast, ‘‘By this time yesterday I had given my parent in-law the beating of his life’’? ",One should not cheerfully and boastfully embrace disgrace.,part1.docx,,
YOR0424,Ojú àlejò la ti ńjẹ gbèsè; ẹ̀hìn-in ẹ̀ là ńsan án.,It is in a visitor’s presence that one gets into debt; it is in her absence that one repays the debt.,One does not estimate how much hospitality is costing until one’s visitor has departed. Compare 3454.,part1.docx,,"""ẹ́"" was missing multiple times in the yoruba context"
YOR0425,Ojú baba ara: a-wọ́n-bí-ojú; a-ṣòró-dà bí-àgbà.,"The eye, father of the body: nothing is as valuable as the eye; nothing is as difficult to achieve as the status of elder.",What is most precious is most difficult to achieve.,part1.docx,,
YOR0427,Ojú iná kọ́ lewùrà ńhurun.,It is not in the presence of the flame that water yam grows hair.,One dares not strut when one’s bane is around.,part1.docx,,
YOR0428,Ojú kì í pọ́n baálé ilé kó fọwọ́ gbálẹ̀ ilé ẹ̀.,A head of a household is never so hard up that he sweeps his compound with his bare hands.,"However desperate one might be, there are certain things one must not stoop to do.",part1.docx,,
YOR0429,Ojú kì í pọ́n babaláwo kó bèrè ẹbọ àná,An Ifá diviner-priest is never so hard up that he asks for yesterday’s sacrifice.,One should not permit hardship to lead one to demeaning behavior.,part1.docx,,
YOR0430,Ojú kì í pọ́n ẹdun kó dẹni ilẹ̀; ìṣẹ́ kì í ṣẹ́ igún kó di ojúgbà adìẹ.,The colobus monkey is never so reduced in circumstances that it becomes a land hugging creature; the vulture is never so badly off that it becomes the equal of a chicken.,"No matter what one’s misfortune, one should maintain one’s dignity.",part1.docx,,
YOR0431,Ojú kì í pọ́n òkú ọ̀run kó ní kí ará ayé gba òun.,A dead person cannot be so desperate as to appeal to a living person for deliverance.,"However bad one’s circumstances might be, one should use good sense in determining where to turn for help.",part1.docx,,
YOR0432,Ojú kì í pọ́nni ká fàbúrò ẹni ṣaya.,One should not become so desperate that one takes one’s younger sister as wife.,Desperation should not preempt propriety.,part1.docx,,
YOR0433,Ojú kì í pọ́nni ká fàkísà bora.,One should never be so benighted that one covers oneself in rags.,"Despite adverse circumstances, one should strive to maintain one’s dignity.",part1.docx,,
YOR0434,Ojú kì í pọ́nni ká pọ́n léhín.,One’s circumstances do not so deteriorate that one becomes red in teeth.,Adverse circumstances should not keep one from attending to essential matters.,part1.docx,,
YOR0435,"Ojú ò ti oníṣègùn, ó ní àna òun ńkú lọ.","The medicine man lacks all shame, he announces that his parent-in-law is dying.","If one cannot do what is expected, one should at least not broadcast one’s shame.",part1.docx,,
YOR0436,"Òkété pẹ̀lú ọmọ ẹ̀-ẹ́ di ọgbọọgba sínú ihò; nígbà tí ìyá ńfehín pàkùrọ́, ọmọ náà ńfehín pa pèlú.","The giant bush rat and its child become equals in their hole; the mother cracks palm nuts with her teeth, and the child does the same thing.",Too much familiarity makes comrades of people who are quite distant from each other in standing.,part1.docx,,
YOR0437,Òkùnkùn ò mẹni ọ̀wọ̀; ó dÍfá fún ‘‘Ìwọ́ tá nìyẹn’’?,Darkness does not know who deserves deference; it consulted the oracle Ifá for ‘‘ Who might you be?’’,People who wander about in darkness cannot expect to be treated with deference,part1.docx,,
YOR0439,Olóbìnrin kan kì í pagbo ìja.,A person who has only one wife does not form a circle for a fight.,A person who does not have enough helping hands should not embark on ventures that are too ambitious.,part1.docx,,
YOR0440,Olójúkan kì í tàkìtì òró.,A one-eyed person does not attempt standing somersaults.,One should limit one’s ambition to one’s capability.,part1.docx,,
YOR0441,"Olówó jẹun jẹjẹ; òtòṣì jẹun tìpà-tìjàn; òtòṣì tí ḿbá ọlọ́rọ̀ rìn, akọ ojú ló ńyá.",The rich man eats slowly and at leisure; the poor person eats fast and with anxiety; the poor man who keeps company with a wealthy man is exceeding his station.,One should keep to comrades whose station is similar to one’s own.,part1.docx,,
YOR0442,Olówó ní ḿbá ọlọ́rọ̀-ọ́ rìn; ẹgbẹ́ ní ḿbá ẹgbẹ́ ṣeré.,It is a rich person that keeps company with a wealthy person; only people of equal standing play together.,One should associate with one’s equals.,part1.docx,,
YOR0443,Olówó ní ńjẹ iyán ẹgbàá.,"It is a rich person that eats pounded yams worth 2,000 cowries.",One’s level of con sumption reflects the depth of one’s pocket.,part1.docx,,
YOR0444,Olóyè kékeré kì í ṣe fáàárí níwájú ọba,A minor chief should not act garrulously in the presence of a king. ,One should know one’s station and act accordingly.,part1.docx,,
YOR0446,"Òní, ẹtú jìnfìn, ọ̀la, ẹtú jìnfìn; ẹtu nìkan lẹran tó wà nígbó?","Today, the antelope falls into the ditch; tomorrow, the antelope falls into the ditch; is the antelope the only animal in the forest?","If a person is the only one misfortune always visits, there is probably something the person is doing to invite it.",part1.docx,,
YOR0447,"Oníbàjẹ́ ò mọra; oníbàjẹ́ ńlọ sóko olè ó mú obìnrin lọ; ọkọ́ kó akọṣu, ìyàwó kó ewùrà.","The shameless person does not know what is fitting; the shameless person is off to raid a farm, and he takes his wife along; the husband steals staple yams, and the wife steals water yams.",A man who involves his family in his questionable ventures has sunk to the lowest depths.,part1.docx,,
YOR0448,Onífunra àlejò tí ńtètè se onílé pẹ̀lẹ́.,The excessively attentive visitor extends hospitality greetings to the host.,One should not assume other people’s functions.,part1.docx,,
YOR0449,"Onígẹ̀gẹ́ filẹ̀kẹ̀ dọ́pọ̀; onílẹ̀kẹ̀ ìbá gbowó, kò rọ́rùn fìlẹ̀kẹ̀ so.","The person with a goiter offers a ridiculously low price for beads; were the beads seller to accept her offer, she would have no neck to string the beads around.",One can always find a ruse to get one out of embarrassing situations.,part1.docx,,
YOR0451,Onílé ńjẹ èso gbìngbindò; àlejò-ó ní kí wọ́n ṣe òun lọ́wọ́ kan ẹ̀wà.,The host is eating the fruits of the gbìngbindò tree; the visitor asks to be treated to some black-eyed peas.,"When one’s benefactor is experiencing hardship, one should be realistic in one’s requests of him.",part1.docx,,
YOR0452,"OníṢàngó tó jó tí kò tàpá, àbùkù ara ẹ̀.",The Ṣango worshiper who dances and does not kick his legs disgraces himself.,A person who skimps on what is expected of him disgraces himself. ,part1.docx,,
YOR0453,On-íṣẹ́pẹ́-igí bímọ ó sọ ní Ayọ̀-ọ́kúnlé; ayọ̀ wo ló wà lára ìṣẹ́pẹ́-igíi.,The seller of twigs for firewood has a child and names him Ayọ̀ọ́kúnle [Joy-fills-this home]; what sort of joy is to be found in firewood twigs?,One should not make too much of nothing.,part1.docx,,
YOR0454,O ǹpè ní ńfa ọlá; òjípè kì í fa ọlá.,It is the person who does the summoning that assumes airs; the person subject to summons does not assume airs.,"One should know one’s place, especially in the company of more illustrious people.",part1.docx,,
YOR0456,Orí-i kí ní ńyá àpọ́n tó ńsúfèé? Nítorí pé yó gùn-ún-yán fúnra ẹ̀ yó níkan jẹ.,What is the cause of the bachelor’s elation that makes him whistle? That he will make pounded yams for himself and eat it by himself?,A bachelor with no one to share his life and his meals has nothing to be cheerful about.,part1.docx,,
YOR0457,"‘‘Òru ò molówó’’ nIfá tí à ńdá fún ""Ìwọ ta nìyẹn?""",‘‘ The dark of night knows not who is a wealthy person’’ is the oracle one delivers to ‘‘Who might that be?’’,Nighttime wanderers should be prepared for indignities.,part1.docx,,
YOR0458,Orogún ìyá ẹ-ẹ́ dáṣọ fún ọ o ní kò balẹ̀; mélòó nìyá ẹ-ẹ́ dá fún ọ tó fi kú?,"Your mother’s co-wife made a garment for you, and you complain that it is not long enough; how many did your mother make for you before she died? ",People dependent on charity should be grateful rather than difficult to please,part1.docx,,
YOR0459,"Òtòlò-ó jẹ, òtòlò-ó mu, òtòlò-ó fẹsẹ̀ wé ẹsẹ̀ erin.","The water buck ate, the water buck drank, the water buck compared its limbs to an elephant’s.",Satiation leads to excess.,part1.docx,,
YOR0460,Oúnjẹ ọmọ kékeré a máa wọ àgbà nínú; òrùka ọmọ kékeré ni kì í wọ ágbá lọ́wọ́,A youth’s food can enter the stomach of an elder; it is only a youth’s ring that cannot slip onto an elder’s finger.,"An elder may take advantage of the youth in certain respects, but in some others an elder must respect his status.",part1.docx,,
YOR0461,Owó ẹ̀yẹ ò sú ẹni-í san; tọ̀ràn ni ò súnwọ̀n.,People have no difficulty paying the money for glorious events; it is the money for trouble that is unpleasant to pay.,The troubles one goes into for honorable purposes are really a pleasure; not so the trouble to extricate oneself from problems.,part1.docx,,
YOR0462,Ọbẹ̀ kì í gbé inú àgbà mì.,A stew does not slosh around once inside an elder.,An elder should know how to keep confidences.,part1.docx,,
YOR0463,Ọ̀bún ríkú ọkọ tìrànmọ́; ó ní ọjọ́ tí ọkọ òún ti kú òun ò fi omi kan ara.,"The filthy person takes advantage of her husband’s death for blame; she says since her husband died, she has not violated her person with water.",Shiftless people will latch on to any excuse to shirk duties.,part1.docx,,
YOR0464,"Ọ̀gà-ǹ-gà lọmọ-ọ̀ mi ńjẹ́, ẹ má pe ọmọ-ọ̀ mi ní Ògò-ǹ-gò mọ́! Èwo lorúkọ rere níbẹ̀.",My child’s name is Ọ̀gàǹgà; don’t you call mychild Ògòǹgò any more! Which of the two is a good name?,A choice between two bad things is no choice at all. ,part1.docx,,
YOR0465,Ọ̀gẹ̀gẹ́ ò lẹ́ wà; láyán ló fara wéṣu.,The poisonous cassava has no attraction; it resembles a yam only in vain.,No imitation can be as good as the real thing.,part1.docx,,
YOR0466,Ọjọ́ àgbà-á kú sàn ju ọjọ́ ágbà-á tẹ́.,The day an elder dies is far better than the day an elder is disgraced.,Death is prefer able to disgrace.,part1.docx,,
YOR0467,"Ọjọ́ kan là ńbàjẹ́, ọjọ́ gbogbo lara ntì.",Only one day brings disgrace to a person; the shame is felt every day.,The thoughtless act of a moment mars one’s reputation for a long time.,part1.docx,,
YOR0468,Ọjọ́ kan ṣoṣo là ńtẹ́; ojoojúmọ́ lojú ńtini.,It takes only one day to disgrace oneself; the shame is a daily affair.,Fleeting indiscre tions have lasting effects.,part1.docx,,
YOR0469,"Ọjọ́ tí alákàn-án ti ńṣepo, kò kún orùbà.","In all the days the crab has been making oil, it has not filled a pot.",Said of people who have labored long but have nothing to show for all their effort.,part1.docx,,
YOR0470,"""Ọjọ́ tí mo ti ńbọ̀ ng ò rírú ẹ̀ rí""; olúwa ẹ̀-ẹ́ mọ ìwọ̀n ara ẹ̀ ni.","In all the days I have walked this earth, I have never seen the like’’: that person knows his place.","If one knows one’s place, one will be spared humiliation.",part1.docx,,
YOR0471,Ọ̀kánjúwà àgbà ní ńsọ ara ẹ̀ dèwe.,It is an avaricious elder that turns himself into a child.,An elder who cannot control his appetite asks to be treated like a child.,part1.docx,,
